CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SUM_SYN_ANT_SAN,SYNERGY_SCORE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA,QA,BatchID,COMBINATION_ID
NCIH520,PACLITAXEL,SORAFENIB,0.04,20.0,0.00958784,1.122786648,18.07073691,11.00250278,2.171286722,1.558846371,0,1.0,3.598891614,17.72993413,1,1,PACLITAXEL.SORAFENIB
MSTO,TEMOZOLOMIDE,MK-8776,250.0,4.0,63.07362617,10.0,53.29202648,0.959601137,3.152023786,13.04406555,0,1.0,28.39708402,35.61040127,1,1,MK-8776.TEMOZOLOMIDE
LOVO,MITOMYCINE,MK-8669,1.0,0.01,0.597884092,1.077961393,0.0,0.000538353,2.102832704,72.35505037,0,1.0,3.402265515,28.61516635,1,1,MITOMYCINE.MK-8669
MSTO,MK-4541,TOPOTECAN,4.0,1.0,0.968984041,10.0,94.79878426,0.079465906,1.889298297,14.70967076,0,1.0,4.672195686,6.717373548,1,1,MK-4541.TOPOTECAN
DLD1,MK-4541,PD325901,4.0,0.1,4.0,10.0,87.79445753,1.0,0.0,100.0,0,1.0,21.19032236,21.19032236,1,1,MK-4541.PD325901
A2780,MK-5108,DASATINIB,2.0,3.0,0.504400142,1.55405091,43.64959764,0.021728225,1.676561871,76.04435925,0,1.0,22.47326664,52.79942393,1,1,DASATINIB.MK-5108
MSTO,MK-4541,LAPATINIB,4.0,5.0,0.968984041,10.0,94.79878426,5.0,0.898275962,39.27361218,0,1.0,-0.925585684,3.06569127,1,1,LAPATINIB.MK-4541
A427,AZD1775,SORAFENIB,0.5,20.0,0.242079513,2.08805365,0.0,4.894644804,1.264497593,0.0,0,1.0,9.239249177,17.64638496,1,1,AZD1775.SORAFENIB
LOVO,GELDANAMYCIN,BEZ-235,2.0,0.4,2.0,10.0,2.010397052,0.016477686,1.453323164,21.62664088,0,0.0,-1.353936999,8.014250548,1,1,BEZ-235.GELDANAMYCIN
LOVO,MK-4541,VINBLASTINE,4.0,0.04,0.087538772,1.06259322,90.8569488,0.013918679,0.944200696,5.987402036,0,1.0,-15.35423776,2.378395808,1,1,MK-4541.VINBLASTINE
ES2,L778123,TOPOTECAN,5.0,1.0,2.268069866,3.883001709,66.41486752,0.079038019,1.700933256,0.517299404,0,1.0,16.57409535,22.02765945,1,1,L778123.TOPOTECAN
PA1,AZD1775,BEZ-235,0.5,0.4,0.232505379,10.0,48.57788165,0.047322894,1.299053592,27.47580621,0,1.0,31.85593906,41.25728118,1,1,AZD1775.BEZ-235
NCIH520,ETOPOSIDE,SUNITINIB,4.0,5.0,4.0,1.513184683,56.804783,4.655412984,5.965008799,0.0,0,1.0,23.66983024,25.00946078,1,1,ETOPOSIDE.SUNITINIB
HT29,MK-2206,PD325901,4.0,0.1,0.387016605,1.369407327,71.43174346,0.006286773,1.517561129,29.97851036,0,1.0,11.93369567,37.72616076,1,1,MK-2206.PD325901
UWB1289,DASATINIB,TOPOTECAN,3.0,1.0,0.062868584,1.069060842,0.0,0.031631928,1.623216997,0.0,0,0.0,-18.38793047,-2.965137832,1,1,DASATINIB.TOPOTECAN
HCT116,MK-2206,GELDANAMYCIN,4.0,2.0,1.0,0.0,100.0,0.574304613,4.19195591,30.5290161,0,1.0,33.69692205,33.69692205,1,1,GELDANAMYCIN.MK-2206
RPMI7951,L778123,DINACICLIB,5.0,0.04,1.308256625,1.398565708,34.42040371,0.009269215,3.172045567,0.644893201,0,1.0,12.61064554,21.41441938,1,1,DINACICLIB.L778123
SKMEL30,TEMOZOLOMIDE,PD325901,250.0,0.1,12.83428646,10.0,88.83237976,0.004884267,1.436717255,21.08193938,0,0.0,-17.79170122,-5.509879961,1,1,PD325901.TEMOZOLOMIDE
HT29,CYCLOPHOSPHAMIDE,DASATINIB,10.0,3.0,1.0,0.0,100.0,0.239994571,0.91955125,41.60819354,0,1.0,12.82409669,12.82409669,1,1,CYCLOPHOSPHAMIDE.DASATINIB
SW620,MK-4541,LAPATINIB,4.0,5.0,1.0,0.0,100.0,1.0,0.0,100.0,0,0.0,-1.666284733,-1.666284733,1,1,LAPATINIB.MK-4541
UACC62,LAPATINIB,MK-2206,5.0,4.0,5.0,1.112299383,68.70994056,0.415669905,1.083975954,60.60339154,0,1.0,5.984160127,17.81618416,1,1,LAPATINIB.MK-2206
RPMI7951,CYCLOPHOSPHAMIDE,L778123,10.0,5.0,1.0,0.0,100.0,4.925275618,0.969629353,0.0,0,1.0,13.45173037,13.45173037,1,2,CYCLOPHOSPHAMIDE.L778123
DLD1,MK-5108,MK-8669,2.0,0.01,2.0,3.233436334,82.2025506,0.002164093,1.372532598,89.88363897,0,1.0,15.15814278,17.10256886,1,1,MK-5108.MK-8669
HCT116,METFORMIN,MK-8669,250.0,0.01,1.0,0.0,100.0,1.0,0.0,100.0,0,1.0,3.423877871,3.423877871,1,1,METFORMIN.MK-8669
A375,BORTEZOMIB,DASATINIB,0.04,3.0,0.00958092,10.0,1.597098622,1.074238912,1.723947971,54.24317801,0,1.0,33.26865131,42.11652713,1,1,BORTEZOMIB.DASATINIB
PA1,L778123,AZD1775,5.0,0.5,1.816392559,1.054759976,38.99423397,0.232505379,10.0,48.57788165,0,1.0,25.2112988,31.38174409,1,1,AZD1775.L778123
PA1,VINORELBINE,SORAFENIB,0.04,20.0,0.001724963,10.0,1.692265176,5.495941128,3.567795377,0.0,0,0.0,-4.886862324,0.966843546,1,1,SORAFENIB.VINORELBINE
HCT116,METFORMIN,ABT-888,250.0,10.0,1.0,0.0,100.0,1.0,0.0,100.0,0,0.0,-0.479926195,-0.479926195,1,1,ABT-888.METFORMIN
RKO,DEXAMETHASONE,GELDANAMYCIN,10.0,2.0,1.0,0.0,100.0,0.511770404,2.042914942,8.054680976,0,1.0,14.49880677,14.49880677,1,1,DEXAMETHASONE.GELDANAMYCIN
LOVO,GEMCITABINE,BORTEZOMIB,0.01,0.04,0.001790428,2.487195144,15.37278164,0.009431599,2.042741068,0.0,0,1.0,1.528070241,11.19657617,1,1,BORTEZOMIB.GEMCITABINE
SKMES1,METHOTREXATE,SUNITINIB,0.2,5.0,0.021164388,1.694523854,17.41302111,4.286803198,2.616590868,0.0,0,0.0,-17.53714884,-11.36471511,1,1,METHOTREXATE.SUNITINIB
A375,METHOTREXATE,ABT-888,0.2,10.0,0.03808291,4.660594924,7.642356839,1.0,0.0,100.0,0,0.0,-8.944584032,-8.944584032,1,1,ABT-888.METHOTREXATE
DLD1,SUNITINIB,MK-2206,5.0,4.0,1.789016869,5.729017161,66.73262721,0.937148614,1.827788757,86.83623921,0,1.0,18.77300061,22.65883403,1,1,MK-2206.SUNITINIB
SKMEL30,VINBLASTINE,BORTEZOMIB,0.04,0.04,0.010900471,9.999999998,44.09590529,0.003401226,2.227958894,1.932810379,0,0.0,1.442469221,6.704977839,1,1,BORTEZOMIB.VINBLASTINE
SKOV3,MITOMYCINE,ABT-888,1.0,10.0,0.129922459,1.350439328,23.96035006,1.0,0.0,100.0,0,0.0,-2.498507132,-2.498507132,1,1,ABT-888.MITOMYCINE
SW837,GELDANAMYCIN,SORAFENIB,2.0,20.0,0.103979905,10.0,29.40630103,7.117693232,5.859844422,23.0332051,0,0.0,-16.49775463,-3.821377563,1,1,GELDANAMYCIN.SORAFENIB
HCT116,CYCLOPHOSPHAMIDE,SORAFENIB,10.0,20.0,1.0,0.0,100.0,11.8340031,2.727782572,0.0,0,1.0,12.9844582,12.9844582,1,1,CYCLOPHOSPHAMIDE.SORAFENIB
OVCAR3,TEMOZOLOMIDE,MK-2206,250.0,4.0,1.0,0.0,100.0,0.187425884,1.595950638,6.704629049,0,0.0,-16.19831045,-16.19831045,1,1,MK-2206.TEMOZOLOMIDE
A375,CYCLOPHOSPHAMIDE,AZD1775,10.0,0.5,1.0,0.0,100.0,0.242489497,2.927098452,49.36934791,0,1.0,1.732506032,1.732506032,1,1,AZD1775.CYCLOPHOSPHAMIDE
NCIH520,MK-4541,MK-8776,4.0,4.0,0.882854581,1.11392054,93.0756375,0.571408754,2.352498891,79.72356524,0,0.0,-18.66725378,-12.88124639,1,1,MK-4541.MK-8776
MDAMB436,CARBOPLATIN,MK-4827,50.0,10.0,4.406893458,1.491138113,48.03991722,0.593317077,1.196838804,58.91506786,0,1.0,-24.32668223,12.18185539,1,1,CARBOPLATIN.MK-4827
SW837,CYCLOPHOSPHAMIDE,MK-2206,10.0,4.0,0.891239831,10.0,93.41121094,0.206308566,10.0,65.97735249,0,0.0,-9.053899996,0.032815669,1,1,CYCLOPHOSPHAMIDE.MK-2206
OV90,L778123,ABT-888,5.0,10.0,1.741004923,10.0,72.40380765,10.0,10.0,93.39737128,0,1.0,11.03992322,11.40694406,1,1,ABT-888.L778123
OV90,L778123,DINACICLIB,5.0,0.04,1.741004923,10.0,72.40380765,0.008725785,2.300763327,26.34067209,0,1.0,9.748243452,16.65243308,1,1,DINACICLIB.L778123
NCIH23,5-FU,MK-5108,10.0,2.0,2.869755946,1.143755729,47.62421274,0.394652741,1.966983939,42.47432515,0,0.0,-14.44444251,4.222582117,1,1,5-FU.MK-5108
UWB1289,METFORMIN,ABT-888,250.0,10.0,250.0,1.848029044,65.20415947,10.0,1.912508276,72.83692041,0,1.0,12.87100828,15.26642868,1,1,ABT-888.METFORMIN
ES2,MK-4541,BORTEZOMIB,4.0,0.04,4.0,10.0,92.39067314,0.010181121,10.0,4.299070337,0,1.0,17.71666274,18.36238741,1,1,BORTEZOMIB.MK-4541
SW620,DOXORUBICIN,BORTEZOMIB,0.3,0.04,0.059647802,0.723315937,0.101602412,0.008343679,1.96227928,0.0,0,1.0,13.80337602,33.80759985,1,1,BORTEZOMIB.DOXORUBICIN
OCUBM,LAPATINIB,MK-8776,5.0,4.0,0.145718002,1.156430576,0.0,0.311754539,2.308924139,47.52308341,0,1.0,2.734754358,26.08765958,1,1,LAPATINIB.MK-8776
SKOV3,ABT-888,SORAFENIB,10.0,20.0,1.0,0.0,100.0,11.24783883,10.0,18.84178895,0,1.0,15.61927043,15.61927043,1,1,ABT-888.SORAFENIB
RPMI7951,MK-2206,PD325901,4.0,0.1,0.924520978,1.097350523,44.88043447,0.005224962,3.191597826,33.74105834,0,1.0,3.677461425,31.19590478,1,1,MK-2206.PD325901
HT144,DOXORUBICIN,ERLOTINIB,0.3,5.0,0.094969455,1.101610439,0.0,4.972358775,1.240779342,0.0,0,1.0,6.392960623,21.61477337,1,1,DOXORUBICIN.ERLOTINIB
A2780,ABT-888,MK-8669,10.0,0.01,1.0,0.0,100.0,0.003782482,1.173760527,54.49851118,0,1.0,3.85232024,3.85232024,1,2,ABT-888.MK-8669
NCIH2122,MK-2206,ABT-888,4.0,10.0,1.581272187,1.395489055,59.61726601,1.113077125,2.533978193,91.56704289,0,1.0,4.735420933,12.76883485,1,1,ABT-888.MK-2206
UWB1289,AZD1775,BEZ-235,0.5,0.4,0.053169677,1.602490427,5.175709362,0.023756839,2.546209253,21.22492555,0,1.0,-3.447123707,16.33505365,1,1,AZD1775.BEZ-235
NCIH2122,MK-4827,ABT-888,10.0,10.0,6.469999429,1.063683171,72.45802623,1.113077125,2.533978193,91.56704289,0,0.0,-9.184807796,-1.418897053,1,1,ABT-888.MK-4827
NCIH23,DEXAMETHASONE,GELDANAMYCIN,10.0,2.0,1.0,0.0,100.0,0.102781945,10.0,12.7481356,0,0.0,-8.241811335,-8.241811335,1,1,DEXAMETHASONE.GELDANAMYCIN
T47D,METFORMIN,LAPATINIB,250.0,5.0,250.0,0.555476108,66.02963463,0.366750114,0.709811048,33.895983,0,1.0,-11.32945332,6.553610224,1,1,LAPATINIB.METFORMIN
RPMI7951,VINBLASTINE,TEMOZOLOMIDE,0.04,250.0,0.004824677,1.621038316,1.676596426,56.4513079,1.678428188,46.01774196,0,0.0,-47.91749719,-30.77976408,1,1,TEMOZOLOMIDE.VINBLASTINE
SW620,AZD1775,ABT-888,0.5,10.0,0.453095214,1.561476852,0.0,1.0,0.0,100.0,0,0.0,-2.826153603,-2.826153603,1,1,ABT-888.AZD1775
NCIH23,MITOMYCINE,LAPATINIB,1.0,5.0,0.082844194,1.678361548,18.58027281,5.0,2.065864479,38.21487943,0,1.0,9.108141269,16.58703145,1,1,LAPATINIB.MITOMYCINE
OVCAR3,AZD1775,ERLOTINIB,0.5,5.0,0.174396481,1.790373145,0.0,0.591628629,0.904422279,14.93292635,0,1.0,3.884293387,26.3131628,1,1,AZD1775.ERLOTINIB
HCT116,CYCLOPHOSPHAMIDE,BORTEZOMIB,10.0,0.04,1.0,0.0,100.0,0.007933692,1.957436447,0.0,0,1.0,39.79667148,39.79667148,1,1,BORTEZOMIB.CYCLOPHOSPHAMIDE
MDAMB436,MK-4541,PACLITAXEL,4.0,0.04,4.0,10.0,83.8046354,0.007774824,1.490827223,32.07244389,0,1.0,13.8337156,16.65302527,1,1,MK-4541.PACLITAXEL
SW620,PD325901,SN-38,0.1,0.005,0.003682238,1.175102831,32.92820459,0.004440648,1.441320144,0.0,0,0.0,-20.80645583,-0.822209855,1,1,PD325901.SN-38
UWB1289,ZOLINZA,ERLOTINIB,4.0,5.0,1.383770628,1.626687584,14.27421205,0.277597719,1.281864077,20.21841182,0,1.0,1.606949904,27.3727353,1,1,ERLOTINIB.ZOLINZA
OV90,MK-2206,OXALIPLATIN,4.0,20.0,0.282191028,1.02163743,55.35767349,5.908511307,1.773113235,43.4171078,0,0.0,-33.19411388,-7.593492127,1,1,MK-2206.OXALIPLATIN
VCAP,PD325901,MK-8669,0.1,0.01,1.0,0.0,100.0,0.002263783,9.999999999,86.19389422,0,1.0,32.6076368,32.6076368,1,1,MK-8669.PD325901
A375,ETOPOSIDE,BORTEZOMIB,4.0,0.04,1.388830014,0.917189041,7.97234797,0.00958092,10.0,1.597098622,0,0.0,15.54709581,31.61118929,1,1,BORTEZOMIB.ETOPOSIDE
HT144,METHOTREXATE,ABT-888,0.2,10.0,0.077158982,10.0,84.79335495,1.0,0.0,100.0,0,0.0,-5.012079644,-5.012079644,1,1,ABT-888.METHOTREXATE
HT29,MITOMYCINE,DINACICLIB,1.0,0.04,0.097074919,1.115306235,33.71236456,0.009961309,2.436965921,21.4452575,0,1.0,-2.929712381,19.0723575,1,1,DINACICLIB.MITOMYCINE
OCUBM,LAPATINIB,SN-38,5.0,0.005,0.145718002,1.156430576,0.0,0.001197585,1.52934387,0.0,0,1.0,4.204993146,23.17018927,1,1,LAPATINIB.SN-38
A2058,AZD1775,DASATINIB,0.5,3.0,0.212832215,10.0,26.78168024,0.025977973,1.019602605,91.46819517,0,1.0,45.88116834,51.14289629,1,1,AZD1775.DASATINIB
A2058,GEMCITABINE,MK-4827,0.01,10.0,0.002699827,10.0,12.10700161,0.795697826,5.551021216,35.26137926,0,0.0,-13.44509809,-3.873892262,1,1,GEMCITABINE.MK-4827
NCIH23,PACLITAXEL,PD325901,0.04,0.1,0.002229019,2.660814591,17.54877076,0.017586622,0.692259476,47.26710801,0,0.0,-21.09037523,5.713958601,1,1,PACLITAXEL.PD325901
A375,METFORMIN,ERLOTINIB,250.0,5.0,1.0,0.0,100.0,4.992083287,9.999999526,55.7518505,0,1.0,5.914455824,5.914455824,1,1,ERLOTINIB.METFORMIN
HT144,DEXAMETHASONE,MK-2206,10.0,4.0,1.0,0.0,100.0,0.283652859,1.000726111,84.0485814,0,0.0,-7.375232417,-7.375232417,1,1,DEXAMETHASONE.MK-2206
NCIH2122,MK-5108,SN-38,2.0,0.005,0.636662796,2.475294136,13.60254026,0.001475642,1.091206787,27.22568823,0,0.0,-116.7738591,-101.6967148,1,1,MK-5108.SN-38
A375,METHOTREXATE,PD325901,0.2,0.1,0.03808291,4.660594924,7.642356839,0.005509909,1.473925683,37.34807066,0,0.0,-19.69321947,-4.574008117,1,1,METHOTREXATE.PD325901
SW837,ETOPOSIDE,BEZ-235,4.0,0.4,0.706745509,1.750482023,55.41735258,0.156333936,1.00241161,0.0,0,0.0,-24.36448813,-0.588881115,1,1,BEZ-235.ETOPOSIDE
MDAMB436,ERLOTINIB,MK-8669,5.0,0.01,5.0,0.863124357,23.80720627,0.000563524,2.571252501,74.2451892,0,1.0,5.728582758,29.20991695,1,1,ERLOTINIB.MK-8669
NCIH1650,SUNITINIB,DINACICLIB,5.0,0.04,1.53353702,3.980988904,69.78789663,0.012708634,10.0,6.497412465,0,1.0,11.8649812,17.80858823,1,1,DINACICLIB.SUNITINIB
DLD1,MITOMYCINE,PD325901,1.0,0.1,0.287366246,1.76411102,52.14266331,1.0,0.0,100.0,0,1.0,20.52209051,20.52209051,1,1,MITOMYCINE.PD325901
DLD1,METFORMIN,GELDANAMYCIN,250.0,2.0,1.0,0.0,100.0,0.389290728,1.558975138,48.47430332,0,1.0,4.567644765,4.567644765,1,1,GELDANAMYCIN.METFORMIN
NCIH23,DASATINIB,ABT-888,3.0,10.0,0.102331447,0.938147333,70.46496068,1.0,0.0,100.0,0,1.0,0.845349698,0.845349698,1,1,ABT-888.DASATINIB
MDAMB436,MITOMYCINE,MK-2206,1.0,4.0,0.041011121,1.447632752,44.55656535,1.95898947,1.030844415,64.06371107,0,1.0,-4.312396179,11.45113235,1,1,MITOMYCINE.MK-2206
VCAP,METFORMIN,PD325901,250.0,0.1,1.0,0.0,100.0,1.0,0.0,100.0,0,0.0,-11.28721098,-11.28721098,1,1,METFORMIN.PD325901
NCIH1650,DASATINIB,BEZ-235,3.0,0.4,0.029360868,0.700151392,20.38356087,0.026192381,2.282002176,42.52027988,0,1.0,-4.416301284,43.08049986,1,1,BEZ-235.DASATINIB
SKOV3,SUNITINIB,OXALIPLATIN,5.0,20.0,4.475165036,1.711497455,0.0,7.791433874,10.0,67.29584838,0,1.0,8.523623883,12.79066771,1,1,OXALIPLATIN.SUNITINIB
NCIH1650,METFORMIN,BEZ-235,250.0,0.4,250.0,10.0,89.98613249,0.026192381,2.282002176,42.52027988,0,0.0,-1.518550429,-0.292014561,1,1,BEZ-235.METFORMIN
DLD1,MITOMYCINE,BORTEZOMIB,1.0,0.04,0.287366246,1.76411102,52.14266331,0.00857849,1.888645165,2.145517736,0,1.0,21.19254317,34.46166166,1,1,BORTEZOMIB.MITOMYCINE
NCIH2122,PD325901,MK-8669,0.1,0.01,0.024841707,1.190020387,53.35652855,0.002758229,10.0,89.49994603,0,1.0,19.3709386,24.24221411,1,1,MK-8669.PD325901
SKMEL30,MK-4541,ETOPOSIDE,4.0,4.0,1.0,0.0,100.0,0.587037039,1.668536768,54.23825133,0,1.0,24.9475553,24.9475553,1,1,ETOPOSIDE.MK-4541
SW620,TEMOZOLOMIDE,TOPOTECAN,250.0,1.0,12.63234102,9.999999999,55.04806908,0.053356222,1.669682608,36.50647163,0,0.0,-34.18649452,4.168114071,1,1,TEMOZOLOMIDE.TOPOTECAN
ES2,SUNITINIB,DINACICLIB,5.0,0.04,5.0,4.960032406,38.81986017,0.012023853,3.283193926,9.486148305,0,1.0,19.68924098,21.77181514,1,1,DINACICLIB.SUNITINIB
DLD1,5-FU,L778123,10.0,5.0,4.598020789,1.057904279,42.99250101,1.096613525,2.188793665,89.33851853,0,1.0,7.03331417,14.4487439,1,1,5-FU.L778123
NCIH520,MRK-003,BEZ-235,10.0,0.4,10.0,0.917741925,15.06249287,0.02437376,2.13763422,29.52266197,0,1.0,7.453607411,26.84847724,1,1,BEZ-235.MRK-003
LOVO,SUNITINIB,SN-38,5.0,0.005,0.978246419,2.080422976,21.10065642,0.005,1.443450566,34.44719259,0,0.0,-4.487837131,1.044395818,1,1,SN-38.SUNITINIB
NCIH520,DEXAMETHASONE,TEMOZOLOMIDE,10.0,250.0,10.0,10.0,89.8134224,1.0,0.0,100.0,0,0.0,-6.855550223,-6.855550223,1,1,DEXAMETHASONE.TEMOZOLOMIDE
A427,5-FU,ABT-888,10.0,10.0,5.428628248,1.750076768,14.93695313,10.0,0.864772801,60.257284,0,1.0,0.929994319,9.824148437,1,1,5-FU.ABT-888
SW837,MITOMYCINE,ABT-888,1.0,10.0,0.294926288,0.779094315,14.26280299,10.0,0.767504208,66.64740749,0,1.0,-9.455038104,3.179237344,1,1,ABT-888.MITOMYCINE
LOVO,BEZ-235,SN-38,0.4,0.005,0.016477686,1.453323164,21.62664088,0.005,1.443450566,34.44719259,0,0.0,-6.61759767,4.92830773,1,1,BEZ-235.SN-38
HT144,VINBLASTINE,SUNITINIB,0.04,5.0,0.00770572,1.05766465,29.0710604,3.250313434,1.602131772,46.19746537,0,1.0,2.170732743,16.43480764,1,1,SUNITINIB.VINBLASTINE
NCIH520,5-FU,SORAFENIB,10.0,20.0,1.536877962,1.501353797,57.22644821,11.00250278,2.171286722,1.558846371,0,1.0,1.190765792,12.98272259,1,1,5-FU.SORAFENIB
UACC62,MRK-003,MK-8669,10.0,0.01,10.0,0.707584611,51.37402147,0.000693121,3.155845824,76.11335754,0,1.0,-4.838879907,13.54557305,1,1,MK-8669.MRK-003
LOVO,5-FU,TEMOZOLOMIDE,10.0,250.0,10.0,1.380255953,11.9923692,250.0,10.0,88.59101696,0,0.0,-16.90262218,-15.23004927,1,1,5-FU.TEMOZOLOMIDE
RPMI7951,VINBLASTINE,SORAFENIB,0.04,20.0,0.004824677,1.621038316,1.676596426,10.67213935,3.415937349,0.0,0,0.0,11.61515646,19.65296021,1,1,SORAFENIB.VINBLASTINE
SKMES1,MITOMYCINE,AZD1775,1.0,0.5,0.087342726,1.591454976,4.943381446,0.149447008,3.560192058,21.14345641,0,1.0,-0.340045553,11.88219217,1,1,AZD1775.MITOMYCINE
PA1,MRK-003,ABT-888,10.0,10.0,10.0,2.044880795,48.89163881,1.0,0.0,100.0,0,1.0,17.99190826,17.99190826,1,1,ABT-888.MRK-003
HT144,GEMCITABINE,BORTEZOMIB,0.01,0.04,0.002902711,10.0,56.15050859,0.006916912,1.856032255,0.0,0,1.0,14.04256544,22.83337088,1,1,BORTEZOMIB.GEMCITABINE
MDAMB436,VINORELBINE,DASATINIB,0.04,3.0,0.008235335,1.853452487,35.01579901,0.128575696,10.0,81.59386457,0,1.0,3.389793081,21.03989774,1,1,DASATINIB.VINORELBINE
VCAP,VINORELBINE,MK-5108,0.04,2.0,0.001770167,10.0,0.0,1.535228739,2.122665801,0.0,0,0.0,-18.33176965,-12.71585228,1,1,MK-5108.VINORELBINE
UWB1289,MK-4827,OXALIPLATIN,10.0,20.0,0.920962263,1.402625281,40.7876808,3.224223076,1.06260383,28.35061356,0,1.0,-21.30255692,11.01820566,1,1,MK-4827.OXALIPLATIN
T47D,MITOMYCINE,ZOLINZA,1.0,4.0,0.224957361,1.534897258,25.64697092,1.393938685,10.0,4.085974337,0,1.0,23.71999297,30.42717343,1,1,MITOMYCINE.ZOLINZA
DLD1,CYCLOPHOSPHAMIDE,AZD1775,10.0,0.5,1.0,0.0,100.0,0.389534988,1.72748814,67.18005503,0,1.0,6.357791958,6.357791958,1,1,AZD1775.CYCLOPHOSPHAMIDE
SW837,CYCLOPHOSPHAMIDE,AZD1775,10.0,0.5,0.891239831,10.0,93.41121094,0.425847443,1.146076477,0.0,0,1.0,1.128124938,7.645137528,1,1,AZD1775.CYCLOPHOSPHAMIDE
HCT116,MITOMYCINE,PD325901,1.0,0.1,0.225387595,1.542597707,34.82053236,0.1,0.768189227,25.03799678,0,1.0,-1.751995178,19.25779079,1,1,MITOMYCINE.PD325901
A2780,MRK-003,ABT-888,10.0,10.0,6.565226945,1.871427734,42.52617738,10.0,1.980873154,77.99201698,0,1.0,9.641971377,12.61611516,1,1,ABT-888.MRK-003
T47D,5-FU,GELDANAMYCIN,10.0,2.0,4.156175921,0.551910802,31.16831131,2.0,10.0,22.75131466,0,1.0,25.62910896,33.27857589,1,1,5-FU.GELDANAMYCIN
PA1,MK-4541,AZD1775,4.0,0.5,0.970917951,10.0,94.49834057,0.232505379,10.0,48.57788165,0,1.0,7.574083946,8.91207816,1,1,AZD1775.MK-4541
RKO,LAPATINIB,MK-4827,5.0,10.0,5.0,10.0,57.8025905,7.236786464,1.373668855,35.65022156,0,1.0,20.43889421,24.00355288,1,1,LAPATINIB.MK-4827
