index,name
487,PIK3R1
488,PIK3R1.1
489,PIK3R2
490,PIK3R2.1
491,PTEN
492,PTEN.1
493,PDPK1
494,PDPK1.1
495,AKT1
496,AKT1.1
497,AKT2
498,AKT2.1
499,FOXO1
500,FOXO1.1
501,FOXO3
502,FOXO3.1
503,MTOR
504,MTOR.1
505,RICTOR
506,RICTOR.1
507,TSC1
508,TSC1.1
509,TSC2
510,TSC2.1
511,RHEB
512,RHEB.1
513,AKT1S1
514,AKT1S1.1
515,RPTOR
516,RPTOR.1
517,MLST8
518,MLST8.1
519,CSF1
520,CSF1.1
521,CSF1R
522,CSF1R.1
523,IGF1
524,IGF1.1
525,IGF1R
526,IGF1R.1
527,FGF1
528,FGF1.1
529,FGFR1
530,FGFR1.1
531,AURKA
532,AURKA.1
533,DLEC1
534,DLEC1.1
535,PLAGL1
536,PLAGL1.1
537,OPCML
538,OPCML.1
539,DPH1
540,DPH1.1
541,EGFR
542,EGFR.1
543,ERBB2
544,ERBB2.1
545,ERBB3
546,ERBB3.1
547,ERBB4
548,ERBB4.1
549,PDGFA
550,PDGFA.1
551,PDGFB
552,PDGFB.1
553,PDGFRA
554,PDGFRA.1
555,PDGFRB
556,PDGFRB.1
557,KIT
558,KIT.1
559,FGF1
560,FGF1.1
561,FGFR1
562,FGFR1.1
563,IGF1
564,IGF1.1
565,IGF1R
566,IGF1R.1
567,VEGFA
568,VEGFA.1
569,VEGFB
570,VEGFB.1
571,KDR
572,KDR.1
573,ADAM10
574,ADAM10.1
575,ADAM17
576,ADAM17.1
577,APH1A
578,APH1A.1
579,APH1B
580,APH1B.1
581,ARRDC1
582,ARRDC1.1
583,CIR1
584,CIR1.1
585,CTBP1
586,CTBP1.1
587,CTBP2
588,CTBP2.1
589,CUL1
590,CUL1.1
591,DLL1
592,DLL1.1
593,DLL3
594,DLL3.1
595,DLL4
596,DLL4.1
597,DTX1
598,DTX1.1
599,DTX2
600,DTX2.1
601,DTX3
602,DTX3.1
603,DTX3L
604,DTX3L.1
605,DTX4
606,DTX4.1
607,EP300
608,EP300.1
609,FBXW7
610,FBXW7.1
611,HDAC1
612,HDAC1.1
613,HDAC2
614,HDAC2.1
615,HES1
616,HES1.1
617,HES5
618,HES5.1
619,HEYL
620,HEYL.1
621,ITCH
622,ITCH.1
623,JAG1
624,JAG1.1
625,JAG2
626,JAG2.1
627,KDM5A
628,KDM5A.1
629,LFNG
630,LFNG.1
631,MAML1
632,MAML1.1
633,MAML2
634,MAML2.1
635,MAML3
636,MAML3.1
637,MFNG
638,MFNG.1
639,NCOR2
640,NCOR2.1
641,NCSTN
642,NCSTN.1
643,NOTCH1
644,NOTCH1.1
645,NOTCH2
646,NOTCH2.1
647,NOTCH3
648,NOTCH3.1
649,NOTCH4
650,NOTCH4.1
651,NRARP
652,NRARP.1
653,NUMB
654,NUMB.1
655,NUMBL
656,NUMBL.1
657,PSEN1
658,PSEN1.1
659,PSEN2
660,PSEN2.1
661,PSENEN
662,PSENEN.1
663,RBPJ
664,RBPJ.1
665,RBPJL
666,RBPJL.1
667,RFNG
668,RFNG.1
669,SNW1
670,SNW1.1
671,SPEN
672,SPEN.1
673,HES2
674,HES2.1
675,HES4
676,HES4.1
677,HES7
678,HES7.1
679,HEY1
680,HEY1.1
681,HEY2
682,HEY2.1
683,MMP1
684,MMP1.1
685,MMP2
686,MMP2.1
687,MMP3
688,MMP3.1
689,MMP7
690,MMP7.1
691,MMP9
692,MMP9.1
693,MMP10
694,MMP10.1
695,MMP11
696,MMP11.1
697,MMP12
698,MMP12.1
699,MMP13
700,MMP13.1
701,MMP14
702,MMP14.1
703,MMP15
704,MMP15.1
705,MMP16
706,MMP16.1
707,MMP17
708,MMP17.1
709,MMP19
710,MMP19.1
711,MMP21
712,MMP21.1
713,MMP23B
714,MMP23B.1
715,MMP24
716,MMP24.1
717,MMP25
718,MMP25.1
719,MMP26
720,MMP26.1
721,MMP27
722,MMP27.1
723,MMP28
724,MMP28.1
725,ITGB3
726,ITGB3.1
727,ITGAV
728,ITGAV.1
729,PTK2
730,PTK2.1
731,CDH1
732,CDH1.1
733,SPARC
734,SPARC.1
735,WFDC2
736,WFDC2.1
737,CHEK1
738,CHEK1.1
739,CHEK2
740,CHEK2.1
741,RAD51
742,RAD51.1
743,BRCA1
744,BRCA1.1
745,BRCA2
746,BRCA2.1
747,MLH1
748,MLH1.1
749,MSH2
750,MSH2.1
751,ATM
752,ATM.1
753,ATR
754,ATR.1
755,MDC1
756,MDC1.1
757,PARP1
758,PARP1.1
759,FANCF
760,FANCF.1
761,SLC19A1
762,SLC19A1.1
763,FOLR1
764,FOLR1.1
765,FOLR2
766,FOLR2.1
767,FOLR3
768,FOLR3.1
769,IZUMO1R
770,IZUMO1R.1
771,RPS6KA1
772,RPS6KA1.1
773,RPS6KA2
774,RPS6KA2.1
775,RPS6KB1
776,RPS6KB1.1
777,RPS6KB2
778,RPS6KB2.1
779,EIF5A2
780,EIF5A2.1
781,EIF4E
782,EIF4E.1
783,EIF4EBP1
784,EIF4EBP1.1
785,RPS6
786,RPS6.1
787,HIF1A
788,HIF1A.1
