,CELL_LINE_mean,CELL_LINE_median,COMPOUND_A_mean,COMPOUND_A_median,COMBINATION_ID_mean,COMBINATION_ID_median,CELL_LINE_COMPOUND_A_mean,CELL_LINE_COMPOUND_A_median
11189,-0.551025542248,1.6047392,7.95635254382,7.4778377135,2.05637788824,3.135261207,-6.96833556445,-4.9006460475
2106,5.10670505239,5.3455657275,24.2027771376,23.4649088165,21.9899376645,17.91527226,24.8626166078,25.640287712
14193,1.3547021509,2.162119874,8.56953315157,9.7865256355,11.5400133595,13.84616595,-2.97005234567,-0.877630293
6792,4.72914776925,4.3960896255,14.0123309483,15.324405475,1.98201020388,2.0404571505,19.2388762978,19.885906243
21906,5.94598722522,8.168204728,7.48121155476,12.02214915,13.3741724747,12.14965431,6.04531921144,3.8921691235
8885,4.15463741662,1.9484619455,11.2925656123,9.32901667907,14.415004489,11.152704705,6.28759579709,6.16834568457
19586,3.28899342444,3.109889877,22.4223449068,20.290999531,26.4760611867,26.84078175,7.63970365789,4.122610517
13924,1.3547021509,2.162119874,10.4886169996,9.572444425,24.1406867379,21.14972784,-15.1129869721,-11.600325152
9326,5.22814907377,4.655307064,6.61223297249,6.213549194,-3.10629850979,-2.177470238,12.3136325939,15.454687771
6671,4.72914776925,4.3960896255,1.88142096713,1.2616505645,5.99800023044,1.6313479155,-5.71070902264,-6.4199811095
3993,9.01571872344,6.249504669,5.70525129343,7.082152688,6.34145579243,5.236595322,6.22528716554,3.797207894
21894,5.94598722522,8.168204728,12.9882877626,13.55028083,3.70981164067,5.48351446,18.3568508414,23.21826825
10268,1.82705168214,1.005401168,11.7706184026,10.367087907,7.71314797812,7.1825327195,11.837563267,9.89260284
6837,4.72914776925,4.3960896255,21.3084963359,22.5374542,6.06986164832,6.223000449,23.3388913527,14.096715233
9454,5.22814907377,4.655307064,14.5731679835,12.480662597,5.23077716392,5.542662304,9.60142983006,9.868859748
6723,4.72914776925,4.3960896255,0.12947050516,-1.592491886,-7.90903859239,-7.620457454,-0.94284669533,-4.68796604
20494,4.31498569306,4.285537662,8.09487137392,7.771503781,6.71069155061,7.547509399,5.41521825939,5.2205762455
8808,4.15463741662,1.9484619455,11.8036255012,13.066265503,2.82833550624,3.428934218,-3.7929065113,2.8248344825
11313,-0.551025542248,1.6047392,9.8587137305,10.5334205216,13.4142778982,10.23600478,16.014573148,15.3776492196
10288,1.82705168214,1.005401168,17.570358509,17.4501784955,6.55757015436,5.737503951,10.6191048002,8.332919153
18512,4.43922191963,3.589359821,12.2354343304,12.195204123,3.34918332216,4.264379112,8.32216569595,11.083734224
1689,12.6391440737,10.073495515,26.4457436341,22.327906093,24.8071508588,23.238833275,43.6192264363,43.33667029
20837,4.73940872884,3.996830654,17.2944485341,16.517722092,0.369644262321,0.823845053,2.55992360813,5.473836328
17676,4.27950945649,2.767635518,5.83686540169,4.475177524,-0.977682056667,-1.680534832,-15.2672066024,-16.426693408
6090,-0.163276863626,2.265196999,21.1137319861,21.0590422185,8.66758956208,9.132109534,15.4840594292,18.1811510775
1833,5.10670505239,5.3455657275,26.7807212558,21.688231851,25.4128465467,26.15401265,35.5707481918,34.084154504
19104,1.04909560655,1.8113466365,10.3139205216,12.2628961861,4.26254632027,6.4210507775,-15.7160185159,-15.8352686284
10872,-0.551025542248,1.6047392,11.7706184026,10.367087907,7.71314797812,7.1825327195,8.60252800474,9.9101704955
2319,5.10670505239,5.3455657275,5.93285818282,4.099411914,-7.04244299646,-6.984392551,28.4777196588,29.922708113
6008,-0.163276863626,2.265196999,10.4709749783,11.2236826775,0.932540039038,0.2505977035,-23.6813499474,3.6250658455
324,6.85457036193,5.57039376,12.2883420269,10.137420672,12.2610526356,5.6522944715,0.1530291011,0.3196770805
1770,12.6391440737,10.073495515,13.3718029293,13.668422667,6.5135915394,7.859842569,20.6319405064,27.014846429
17308,4.27950945649,2.767635518,20.2251915875,19.3146094186,33.8346495401,32.24515006,2.7083363318,1.99268822857
612,7.18502253668,5.740675769,12.9882877626,13.55028083,3.70981164067,5.48351446,21.4360533399,22.923452531
14184,1.3547021509,2.162119874,11.9284183905,9.489530196,-2.31994346127,-2.356307753,6.27365233816,4.8968655985
13580,12.1447419829,11.37988951,14.9607005149,14.1081591645,1.65261005663,0.352653245,44.8439758946,46.892315
9363,5.22814907377,4.655307064,1.09661004056,2.561107305,-9.63085726547,-9.303395874,2.65851777153,6.011483666
1210,12.6391440737,10.073495515,22.6850635493,20.592791115,7.00803618116,5.403287915,43.7273569022,43.4586638315
18350,6.62936750103,5.881891471,22.3395332642,19.561571443,18.9818699106,15.835732445,52.2860064775,53.08500555
5272,3.08102136649,2.987977001,4.53105460413,4.002528488,-4.20985537712,-3.071908947,15.0677924939,9.466194112
10628,1.82705168214,1.005401168,7.77077622307,5.3164242955,-3.2791099099,-2.938145096,-7.36342178906,-4.80410187
8726,4.15463741662,1.9484619455,3.15592934563,1.8137961055,-17.4701224965,-16.64633983,-8.28060016783,-9.902739506
13869,1.3547021509,2.162119874,12.2555913302,10.440168389,11.2570568402,11.551438945,9.75354975348,9.219547149
522,6.85457036193,5.57039376,11.9284183905,9.489530196,-2.31994346127,-2.356307753,16.7578908952,3.1870230615
1034,7.18502253668,5.740675769,5.12373936154,6.796932455,2.74902226856,1.326845141,-4.60264715488,-0.4701189035
5841,6.89882816312,7.092524496,6.32510441578,5.609172385,-2.807983236,-4.5964640865,18.0306958744,17.6431478425
15571,8.71211425932,6.825018632,13.149910476,13.849921852,-3.4035359045,-1.7139227185,18.7537269682,13.381768504
19303,1.04909560655,1.8113466365,19.4563473345,15.465593201,11.5594343353,9.642800555,2.3739259378,-8.657728655
6443,-0.163276863626,2.265196999,12.7822705919,10.132385996,8.47672697862,8.618376222,-9.2422107163,13.4119994985
22187,5.94598722522,8.168204728,11.3096969362,13.071300179,-0.0457903869615,-1.4770533345,19.4673669952,20.6139386216
20447,4.31498569306,4.285537662,12.2883420269,10.137420672,12.2610526356,5.6522944715,-3.69775557718,2.365257452
14547,4.44570270266,4.369908838,5.33498473618,5.20069966,-6.01949999288,-5.1919241695,2.18734515064,3.625397772
20266,4.31498569306,4.285537662,11.0341810469,10.502867845,11.426210932,9.4740625535,18.2815831308,18.292445538
17921,6.62936750103,5.881891471,0.12947050516,-1.592491886,-7.90903859239,-7.620457454,-6.07268118049,-2.7857000045
13163,12.1447419829,11.37988951,8.70029420361,7.3645952945,5.91192042408,4.127096233,28.2073993158,28.283330575
877,7.18502253668,5.740675769,7.44413678137,6.432054953,2.12216885037,0.423608041,18.0357420466,13.2333493055
16015,8.71211425932,6.825018632,20.9629660508,21.506234528,22.0373641914,23.984159235,32.5983005824,37.159765109
11769,-4.74695349039,-0.218869226,8.23611363958,8.091072495,-8.3766310539,-8.160292001,-1.25480350947,1.7473135485
15418,9.72315989101,9.6342076655,-9.02815789435,-8.1861186735,-5.97266581504,-4.788988392,-34.2013183088,-31.665566018
9093,5.22814907377,4.655307064,16.3799723885,14.863004363,14.9803734912,13.52825008,7.55367809631,5.0982440985
18348,6.62936750103,5.881891471,10.854490145,11.3418245145,3.59378799517,-0.732536015,25.8579053778,27.939748813
11288,-0.551025542248,1.6047392,0.67907918171,2.932214348,-3.01400754796,-1.723918611,-18.9344334757,-17.44851643
14580,4.44570270266,4.369908838,21.0935311933,19.458479163,16.5377537744,16.69959376,34.4574291015,34.600455224
2123,5.10670505239,5.3455657275,24.0753403289,22.800374568,11.9838404705,9.630066475,27.0886002774,27.368995808
6271,-0.163276863626,2.265196999,7.44413678137,6.432054953,2.12216885037,0.423608041,-4.69874571914,-4.924592139
20830,4.73940872884,3.996830654,14.0310437102,11.3312785425,8.82972932095,9.5706331685,-1.3688792858,2.029202808
21097,4.73940872884,3.996830654,6.16045808457,8.8116283525,3.8088259083,3.885358738,11.2928332808,12.6429998746
14863,9.72315989101,9.6342076655,10.9649035434,11.2186480015,-1.27440376286,2.552812333,27.0003552564,19.658737361
6561,-0.163276863626,2.265196999,20.9629660508,21.506234528,22.0373641914,23.984159235,14.7947157547,18.704155393
9939,5.23592990352,3.709561333,10.3386866633,11.917856957,-0.0517678578636,0.7290170375,-7.31029699714,-14.114422171
10196,1.82705168214,1.005401168,10.0162300831,9.5232073275,-3.69777138017,-2.839542695,5.99193126371,1.8828444825
20721,4.73940872884,3.996830654,11.6723518831,11.391668797,9.79067705088,8.319763748,4.03684140454,0.334012332
622,7.18502253668,5.740675769,7.23116389157,9.265008389,0.00578730584,-0.634286388,9.58068908898,12.1552916565
8803,4.15463741662,1.9484619455,-3.18380393987,-5.708615568,-10.6871773208,-9.532772413,-36.689934319,-37.24541137
10611,1.82705168214,1.005401168,12.0664197131,13.180704548,9.59422110596,9.044794752,-2.52805027435,0.972041428
16042,0.734227777422,2.73255688,13.2832854966,14.175043966,4.53097458259,7.837174776,9.06693569287,9.607010673
13809,1.3547021509,2.162119874,10.6617103289,9.6901728075,2.21522194812,-1.141078806,0.60613954475,8.9925435305
13781,1.3547021509,2.162119874,11.8716553633,11.7022925665,5.56948019517,6.334373263,6.69177426503,10.2717929295
18321,6.62936750103,5.881891471,-5.55704247786,0.254721159,-8.70901428809,0.237758163,0.3861055391,0.950272849
16091,0.734227777422,2.73255688,16.4555092378,11.887264091,8.88066882432,8.753253148,-10.4039648067,-21.512414361
2179,5.10670505239,5.3455657275,6.61223297249,6.213549194,-3.10629850979,-2.177470238,24.6053481885,22.354992931
11563,-4.74695349039,-0.218869226,15.1006525451,13.0887819605,13.5775348978,11.83817038,-0.62352529735,2.58853008
11900,-4.74695349039,-0.218869226,-0.97183431952,1.413276557,-4.5393206241,2.26675378,-60.2610267628,2.38027061
5092,3.08102136649,2.987977001,11.3506228708,10.268031848,6.76959170165,6.432199875,7.7263515574,10.925835043
10700,1.82705168214,1.005401168,17.9811569152,18.164339123,5.47703025396,4.043309736,11.3107592375,12.543058223
14499,4.44570270266,4.369908838,19.5937427282,19.781811324,-11.2018219455,-6.308091246,20.3128235519,33.6751728
5368,3.08102136649,2.987977001,1.73065503187,1.708842874,1.83346369169,4.7298337745,-3.64243423113,-8.711419622
9894,5.23592990352,3.709561333,12.248333811,11.2227716146,6.77648896729,5.9120368175,0.119770080211,-0.928700133427
21074,4.73940872884,3.996830654,13.1166734168,11.366641359,0.744499325769,0.566082202,11.6803669711,12.304618568
15890,8.71211425932,6.825018632,21.7148965671,20.1179787355,18.1283027873,20.03868459,39.2182622006,36.506666905
16496,0.734227777422,2.73255688,7.06342920171,7.1439281705,2.25494114243,-0.167583602,-5.26512915677,-5.7228216995
2394,5.10670505239,5.3455657275,5.65646477383,4.3197942585,0.496005673208,-4.8769364535,35.3011564393,36.33204242
7127,4.72914776925,4.3960896255,13.3448531218,12.3994004095,1.33679738252,0.61384443,23.0401128266,13.576895162
10694,1.82705168214,1.005401168,-5.07804468934,-1.353058093,-14.231515236,-13.46679472,-0.77571064854,4.4198331075
12612,1.9373531548,2.338132247,10.0094796658,10.0862282121,1.18466860062,1.6128071385,12.2905965445,11.9015221131
12948,1.9373531548,2.338132247,1.22151605628,2.853920677,-2.56915537304,-0.826508396,8.10459937667,7.939236316
16681,4.38859879502,4.16777977,4.6046364971,6.2691545585,1.24259357441,1.083449748,12.6185557533,4.045701135
16844,4.38859879502,4.16777977,0.97407691572,3.556977484,-5.34996718036,-2.7416246925,12.6879252135,10.043015694
19766,3.28899342444,3.109889877,13.8665249437,13.223543558,0.335758420682,2.224958609,-1.8159877316,-4.8793267815
18325,6.62936750103,5.881891471,1.14389510953,4.760330564,9.06757140026,11.92274923,20.5596897054,14.09525717
9983,5.23592990352,3.709561333,12.7822705919,10.132385996,8.47672697862,8.618376222,23.5117847905,17.669458207
11429,-4.74695349039,-0.218869226,10.0094796658,10.0862282121,1.18466860062,1.6128071385,6.02881045302,6.10048165957
3650,9.01571872344,6.249504669,7.59088806088,12.7204051425,4.76229327115,6.271647201,25.9171554327,24.792095639
15962,8.71211425932,6.825018632,5.42397794624,4.336438031,-6.2844993859,-7.22844484,14.0557153252,11.38501671
17780,4.27950945649,2.767635518,-2.62575690112,-2.7345071125,-5.50059298159,-3.113059111,-7.73429355867,-17.121457444
18079,6.62936750103,5.881891471,7.24441250101,7.501697198,8.80307892246,10.6277668375,21.1622399396,24.901336177
16256,0.734227777422,2.73255688,10.7836147336,10.197207561,10.3891781758,9.84789455,12.2086451226,13.771982656
15486,8.71211425932,6.825018632,18.2778068487,17.623199291,4.65798184014,5.4921304,15.8685263431,7.5886450855
607,7.18502253668,5.740675769,1.34713986518,1.590701037,-6.3153729089,-0.933901182,-2.80955764241,-5.440033009
14033,1.3547021509,2.162119874,15.7614230098,14.35777376,19.3540260812,13.67888327,-3.5247483794,-2.057866825
13385,12.1447419829,11.37988951,10.9781521528,9.4553368105,1.71947313085,-0.491930327,36.5585888345,31.9676845675
19187,1.04909560655,1.8113466365,16.7791749414,15.587325843,10.6441663407,8.213062178,7.7983258664,6.490248941
22006,5.94598722522,8.168204728,12.9800922822,12.646568772,3.01396526787,2.338208168,4.77785435406,5.823498874
15517,8.71211425932,6.825018632,3.78010842356,6.8457141385,9.08514688242,9.853616741,17.4438742568,18.9352158255
14919,9.72315989101,9.6342076655,14.625584069,14.0191237835,4.87684837904,7.1535715835,14.8290049072,20.417109565
4102,9.01571872344,6.249504669,14.5731679835,12.480662597,5.23077716392,5.542662304,36.2405159376,33.668843802
12528,1.9373531548,2.338132247,21.9560180975,19.443429606,14.7112569727,13.34972795,22.7240698555,17.3153819655
9008,5.22814907377,4.655307064,1.25165724335,3.316622126,4.931281899,0.841324271,21.9434796078,21.810924045
10795,-0.551025542248,1.6047392,-1.62491781431,-2.4363724655,-4.27126851204,-4.978933193,-2.98241208145,-6.997598552
6162,-0.163276863626,2.265196999,9.88650565212,8.6634783025,4.86862518792,5.2446923055,3.76721297467,4.742395422
14059,1.3547021509,2.162119874,6.16045808457,8.8116283525,3.8088259083,3.885358738,-3.74319663147,-4.034637323
628,7.18502253668,5.740675769,1.11183955016,2.1556646845,-8.70652560739,-8.234799863,8.9938748364,10.26301961
17268,4.27950945649,2.767635518,14.625584069,14.0191237835,4.87684837904,7.1535715835,-4.99497132598,-4.234128733
7157,4.72914776925,4.3960896255,12.0558670498,11.509810634,5.66230224141,4.745946284,8.7174998144,6.8640418895
1614,12.6391440737,10.073495515,-3.00960032926,-0.205227345,-15.6072382745,-14.26040241,-7.91258306305,-3.618106917
1027,7.18502253668,5.740675769,8.23611363958,8.091072495,-8.3766310539,-8.160292001,4.78212938046,7.502117921
8909,4.15463741662,1.9484619455,-5.55704247786,0.254721159,-8.70901428809,0.237758163,-8.84364266993,-13.9794919975
6975,4.72914776925,4.3960896255,6.16045808457,8.8116283525,3.8088259083,3.885358738,4.77948804629,5.227565323
1810,5.10670505239,5.3455657275,7.23116389157,9.265008389,0.00578730584,-0.634286388,-16.0816361761,-10.715126112
8855,4.15463741662,1.9484619455,4.87251963496,3.8907796625,-6.37395040554,-6.857230126,-9.18658275033,-11.910937676
5694,6.89882816312,7.092524496,4.36122657133,3.405718956,3.94909737823,2.5469896395,6.75928230413,7.4856308865
3859,9.01571872344,6.249504669,18.0797801211,17.410256286,19.9999155637,18.16977891,28.0080374895,28.720633255
18126,6.62936750103,5.881891471,10.155065074,9.6253090095,-2.46918766196,-2.224569659,24.2023556484,20.742339379
18144,6.62936750103,5.881891471,3.15592934563,1.8137961055,-17.4701224965,-16.64633983,20.758841857,18.625162348
1467,12.6391440737,10.073495515,6.55770411985,5.855080167,-0.123171935522,0.692991326,14.8506966738,12.306238543
10752,-0.551025542248,1.6047392,4.01009613827,3.5813093175,8.7717340091,9.7609213885,-4.14955308861,-3.3846602285
16847,4.38859879502,4.16777977,13.7173332143,14.699642339,-3.24653132891,-4.038762817,9.46992873575,1.006131579
1135,7.18502253668,5.740675769,14.2112524048,13.207060771,-0.112047227524,2.680922961,19.6323647972,24.570756935
8385,4.15463741662,1.9484619455,22.4223449068,20.290999531,26.4760611867,26.84078175,11.6909759426,9.2845029925
21926,5.94598722522,8.168204728,14.299901722,12.6600809296,47.8688309732,44.95018223,7.91109120122,8.20307893157
14124,1.3547021509,2.162119874,4.50004891696,3.078084625,-5.44445596762,-4.133287819,0.59559337818,3.193414404
6003,-0.163276863626,2.265196999,7.68637068271,10.9944840535,-0.48842394356,4.66363224,5.89136707965,8.121462341
20225,4.31498569306,4.285537662,8.22065178466,10.665433581,8.75824637191,8.210791655,8.56612625722,11.8313069405
6205,-0.163276863626,2.265196999,7.78277663693,6.618878451,3.3308081155,-2.4669580525,-7.25614549748,13.2637591595
579,6.85457036193,5.57039376,17.9811569152,18.164339123,5.47703025396,4.043309736,21.6248618732,15.09653003
10852,-0.551025542248,1.6047392,20.2762576697,19.859617497,9.97789266933,11.50754873,46.0727545484,37.94956499
16383,0.734227777422,2.73255688,10.5194469719,12.002602875,-0.973767953909,7.5055150375,9.6785298917,13.189876553
6716,4.72914776925,4.3960896255,8.12933573134,6.548773125,-8.38621816014,-5.2016756385,5.36978591336,4.061540298
20924,4.73940872884,3.996830654,14.0123309483,15.324405475,1.98201020388,2.0404571505,17.8441487513,11.811326586
5468,6.89882816312,7.092524496,10.3112278171,10.1479704635,-5.3522401535,-3.278373512,20.8475632688,19.545726082
13891,1.3547021509,2.162119874,14.1220074545,16.0226614675,9.50953251408,9.696861622,7.5295748796,5.885587903
466,6.85457036193,5.57039376,7.77087754142,7.316948966,-1.81448593683,1.091985034,-8.2229067589,-23.015393657
13002,1.9373531548,2.338132247,15.4546290799,14.1031244885,11.9398516595,13.78530691,13.1018572817,12.9453629495
5384,3.08102136649,2.987977001,8.8160441125,8.195390156,10.8881972207,11.71498725,5.51010167323,-0.77739877
158,6.85457036193,5.57039376,2.62142836529,2.222863341,-6.08233425537,-5.0346154695,9.89638289113,9.6974286255
15510,8.71211425932,6.825018632,-5.11771476125,-6.5498623395,-1.19504207267,-1.624522351,22.8037553412,24.550915131
15818,8.71211425932,6.825018632,11.205664193,8.884741249,0.4006444242,-1.5828062015,6.29331835728,4.9248470135
12540,1.9373531548,2.338132247,1.11183955016,2.1556646845,-8.70652560739,-8.234799863,7.7339014093,10.6759933975
6754,4.72914776925,4.3960896255,12.5710148829,13.43991219,2.04403850146,7.8634811075,15.9259146143,15.724830593
17013,4.38859879502,4.16777977,-8.89362435565,-7.879534697,-6.21873191542,-3.1559164805,-8.08122946425,-13.295637162
19241,1.04909560655,1.8113466365,5.6432279743,4.200362438,9.263722876,9.0117333755,-1.10154676583,-6.4976469215
13540,12.1447419829,11.37988951,13.5924533823,12.4870601341,-4.52649408795,2.5862567915,21.4598884186,16.1760451741
6028,-0.163276863626,2.265196999,11.5768692613,13.117589886,14.6592557884,13.32451231,-36.7735179795,7.695026303
9136,5.22814907377,4.655307064,4.1797136864,4.4801912015,-10.4633984455,-4.942682582,12.4858069661,15.0194632575
190,6.85457036193,5.57039376,4.73776072515,7.454299657,3.467490511,5.5229585455,-9.7584030184,-14.9115612175
13982,1.3547021509,2.162119874,21.220968002,20.1230134115,10.4965076355,10.477678002,7.14573187223,8.49629056
16669,4.38859879502,4.16777977,3.18556806473,4.1578688975,3.63840435856,5.8504985085,8.8389772632,9.335361263
17830,6.62936750103,5.881891471,8.66380088353,7.650858509,-3.61773446364,-7.9023384345,-2.1486698124,-6.69145664
