COMPOUND_A,MAX_CONC_B,MAX_CONC_A,IC50_B,H_B,Einf_B,IC50_A,H_A,Einf_A,SUM_SYN_ANT_LOEWE,SUM_SYN_ANT_BLISS,SUM_SYN_ANT_HSA
METFORMIN,18.8066878981,250.0,4.29091498942,3.7126775861,44.2469562111,104.177878909,2.92290314527,91.9773827871,1.8979117643,1.43626369116,2.92621136154
METHOTREXATE,16.6839142091,0.2,3.75994663151,3.5946989814,45.7853274785,0.0482265825737,6.55483565441,27.9277004952,-6.81693985839,-8.09513543482,-0.300616467995
MITOMYCINE,16.0314473684,1.0,3.61456322101,3.63387119114,42.8296884882,0.176474703618,1.55798045904,25.8550649509,1.31639983241,-5.0605505638,9.81468886557
MK-2206,4.88200292398,4.0,2.11756647899,3.32718460066,36.5378333468,1.29378611149,2.19360728687,59.0216381567,17.1556265217,8.69576204906,23.005599047
MK-4541,19.4605017104,4.0,6.84651663375,3.36531683596,42.1507265987,2.00813123184,3.97980557359,91.6247833051,3.43707297188,2.10408188472,4.50460752762
MK-4827,4.42556818182,10.0,1.84669084594,3.11614668095,39.0281436106,4.99981474032,4.47886720634,54.9906953051,7.0471506159,4.31939226575,14.1122222627
MK-5108,4.87097150259,2.0,1.97237320421,3.19148937442,39.4868795501,0.863841669145,4.43066961125,59.92136977,6.91971380717,4.4777303803,13.0055971209
MK-8669,6.09578378378,0.01,2.59072633945,3.85880807995,27.6590111273,0.0605740824324,4.56283078965,75.6446388908,18.5321937351,10.6733325328,23.2033255082
MRK-003,17.7979132474,10.0,6.21336920286,3.46736679786,41.8982845426,6.7725553591,4.2396588691,51.8322234465,6.19695960962,4.8216807303,12.3798014828
OXALIPLATIN,7.18166666667,20.0,3.06356737314,4.077383395,25.1966331787,8.3525920449,3.96795480793,35.7167194445,-3.04103026399,-1.56877868914,7.89162165338
PACLITAXEL,17.7790046296,0.04,4.16828227424,3.4860705731,43.3605528204,0.00527316802546,3.85349027898,23.5224876674,-0.477649979243,-3.70129356692,12.0701261736
PD325901,4.9127037037,0.1,1.99267973076,3.45973310844,35.9435905555,0.111425344196,1.13605372672,53.6248599697,7.54107918095,-2.81852386822,13.498653976
SN-38,7.68864864865,0.005,3.27243132535,3.85030973011,23.2540218447,0.00290035644595,4.03886992515,38.4656447632,0.924153599446,3.49801386038,11.4739966119
SORAFENIB,2.02,20.0,0.414644745286,3.36372647874,34.0633076324,9.69495341212,4.67676831669,6.08347488183,-0.142773675881,5.90956245402,12.1425581765
SUNITINIB,16.1877765957,5.0,3.91046090885,3.47614965935,43.660810949,3.5085666281,3.85661415091,25.7991104102,7.91354989895,8.67816007875,15.4279474237
TEMOZOLOMIDE,4.74737470167,250.0,2.1362395232,3.46016867842,41.7079378596,49.1681811497,4.24616697498,78.0947917597,5.00870458337,2.29293071194,9.12484123906
TOPOTECAN,5.35857142857,1.0,2.2395769843,3.3424697221,24.999718067,0.113144518536,1.56667791755,18.6667657641,5.24119141096,-1.5535372333,16.6374689848
VINBLASTINE,15.7429078014,0.04,4.18353613461,3.41925392591,43.7667288757,0.0179347054232,4.66022930999,13.9108383085,6.29770250587,9.33185797677,19.6495194422
VINORELBINE,18.6305084746,0.04,4.60352516475,3.55622303543,43.6833538379,0.00650155814286,4.57951912887,24.9459700562,-8.88538421847,-9.68167657656,4.60155853093
ZOLINZA,15.7544141414,4.0,4.21700682721,3.34874063436,41.098690189,1.64273372379,4.55251862783,14.2334355917,3.80733952913,7.82670704472,16.9005783727
