CELL_LINE,COMBINATION_ID,ADDITION_SCORE
A2058,CARBOPLATIN.SORAFENIB,39.6681629
A2058,CARBOPLATIN.SUNITINIB,61.56318182
A2058,CARBOPLATIN.TEMOZOLOMIDE,143.6536586
A2058,CARBOPLATIN.ZOLINZA,72.11043557
A2058,CARBOPLATIN.GELDANAMYCIN,209.9026918
A2058,ABT-888.CYCLOPHOSPHAMIDE,-14.67847061
A2058,AZD1775.CYCLOPHOSPHAMIDE,28.13309658
A2058,BEZ-235.CYCLOPHOSPHAMIDE,117.1253175
A2058,BORTEZOMIB.CYCLOPHOSPHAMIDE,70.50589254
A2058,CYCLOPHOSPHAMIDE.DASATINIB,10.92792607
A2058,CYCLOPHOSPHAMIDE.DINACICLIB,59.85085708
A2058,CYCLOPHOSPHAMIDE.ERLOTINIB,-0.097556491
A2058,CYCLOPHOSPHAMIDE.L778123,14.99845486
A2058,CYCLOPHOSPHAMIDE.LAPATINIB,-9.341569312
A2058,CYCLOPHOSPHAMIDE.MK-2206,8.073114104
A2058,CYCLOPHOSPHAMIDE.MK-4827,102.868701
A2058,CYCLOPHOSPHAMIDE.MK-5108,9.497490616
A2058,CYCLOPHOSPHAMIDE.MK-8669,19.97326837
A2058,CYCLOPHOSPHAMIDE.MK-8776,32.95819053
A2058,CYCLOPHOSPHAMIDE.PD325901,20.24395999
A2058,CYCLOPHOSPHAMIDE.SORAFENIB,12.67179844
A2058,CYCLOPHOSPHAMIDE.SUNITINIB,34.11611359
A2058,CYCLOPHOSPHAMIDE.TEMOZOLOMIDE,83.9182347
A2058,CYCLOPHOSPHAMIDE.ZOLINZA,23.20219111
A2058,CYCLOPHOSPHAMIDE.GELDANAMYCIN,148.9740666
A2058,ABT-888.DASATINIB,14.10877808
A2058,BEZ-235.DASATINIB,194.6021981
A2058,DASATINIB.DINACICLIB,113.9343019
A2058,DASATINIB.MK-8669,70.00899594
A2058,DASATINIB.MK-8776,79.3844748
A2058,DASATINIB.MK-8776,143.9722679
A2058,DASATINIB.OXALIPLATIN,41.5586903
A2058,DASATINIB.SN-38,76.47468389
A2058,DASATINIB.SORAFENIB,36.72850466
A2058,DASATINIB.TOPOTECAN,222.9375324
A2058,DASATINIB.GELDANAMYCIN,235.607057
A2058,ABT-888.DEXAMETHASONE,-29.67606318
A2058,AZD1775.DEXAMETHASONE,18.55837935
A2058,BEZ-235.DEXAMETHASONE,106.1004853
A2058,BORTEZOMIB.DEXAMETHASONE,56.39625032
A2058,DASATINIB.DEXAMETHASONE,-8.550414672
A2058,DEXAMETHASONE.DINACICLIB,48.05090248
A2058,DEXAMETHASONE.ERLOTINIB,-18.97305829
A2058,DEXAMETHASONE.L778123,4.554617641
A2058,DEXAMETHASONE.LAPATINIB,-28.82874796
A2058,DEXAMETHASONE.MK-2206,-10.16770857
A2058,DEXAMETHASONE.MK-4827,93.76324652
A2058,DEXAMETHASONE.MK-5108,-3.611714243
A2058,DEXAMETHASONE.MK-8669,2.425854181
A2058,DEXAMETHASONE.MK-8776,19.37874668
A2058,DEXAMETHASONE.PD325901,2.714457476
A2058,DEXAMETHASONE.SORAFENIB,4.810004455
A2058,DEXAMETHASONE.SUNITINIB,27.67329114
A2058,DEXAMETHASONE.TEMOZOLOMIDE,70.60206253
A2058,DEXAMETHASONE.ZOLINZA,8.977192224
A2058,DEXAMETHASONE.GELDANAMYCIN,140.0193109
A2058,DINACICLIB.MK-8776,107.9022784
A2058,ABT-888.DOXORUBICIN,163.9933708
A2058,AZD1775.DOXORUBICIN,141.8850743
A2058,BEZ-235.DOXORUBICIN,247.3933053
A2058,BORTEZOMIB.DOXORUBICIN,237.8907379
A2058,DASATINIB.DOXORUBICIN,242.7285435
A2058,DINACICLIB.DOXORUBICIN,199.8280755
A2058,DOXORUBICIN.ERLOTINIB,224.6188259
A2058,DOXORUBICIN.L778123,139.2078036
A2058,DOXORUBICIN.LAPATINIB,222.734593
A2058,DOXORUBICIN.MK-2206,225.1648906
A2058,DOXORUBICIN.MK-4827,210.4060214
A2058,DOXORUBICIN.MK-5108,165.48465
A2058,DOXORUBICIN.MK-8669,228.7099181
A2058,DOXORUBICIN.MK-8776,194.3464683
A2058,DOXORUBICIN.PD325901,228.7650939
A2058,DOXORUBICIN.SORAFENIB,106.1611027
A2058,DOXORUBICIN.SUNITINIB,110.5321573
A2058,DOXORUBICIN.TEMOZOLOMIDE,241.7439989
A2058,DOXORUBICIN.ZOLINZA,192.3578757
A2058,DOXORUBICIN.GELDANAMYCIN,254.3298649
A2058,ABT-888.ERLOTINIB,2.984850714
A2058,BEZ-235.ERLOTINIB,174.2738974
A2058,BORTEZOMIB.ERLOTINIB,116.2341556
A2058,DASATINIB.ERLOTINIB,44.22339644
A2058,DINACICLIB.ERLOTINIB,98.3996652
A2058,ERLOTINIB.MK-8669,53.46511222
A2058,ERLOTINIB.MK-8776,64.91912737
A2058,ERLOTINIB.OXALIPLATIN,29.8051554
A2058,ERLOTINIB.PD325901,53.8021149
A2058,ERLOTINIB.SN-38,62.08211329
A2058,ERLOTINIB.SORAFENIB,28.96265281
A2058,ERLOTINIB.TOPOTECAN,203.9135234
A2058,ERLOTINIB.GELDANAMYCIN,213.981225
A2058,ABT-888.ETOPOSIDE,157.9264875
A2058,AZD1775.ETOPOSIDE,151.0242846
A2058,BEZ-235.ETOPOSIDE,287.315066
A2058,BORTEZOMIB.ETOPOSIDE,261.4370805
A2058,DASATINIB.ETOPOSIDE,245.2550431
A2058,DINACICLIB.ETOPOSIDE,219.8275546
A2058,ERLOTINIB.ETOPOSIDE,223.3590776
A2058,ETOPOSIDE.LAPATINIB,218.2278168
A2058,ETOPOSIDE.MK-2206,226.7812575
A2058,ETOPOSIDE.MK-4827,245.5059652
A2058,ETOPOSIDE.MK-5108,167.9284996
A2058,ETOPOSIDE.MK-8669,234.5001956
A2058,ETOPOSIDE.MK-8776,204.8996992
A2058,ETOPOSIDE.PD325901,234.6504539
A2058,ETOPOSIDE.SORAFENIB,110.0471115
A2058,ETOPOSIDE.SUNITINIB,121.9506405
A2058,ETOPOSIDE.TEMOZOLOMIDE,269.9954192
A2058,ETOPOSIDE.ZOLINZA,199.4842396
A2058,ETOPOSIDE.GELDANAMYCIN,305.4363082
A2058,ABT-888.GEMCITABINE,70.89051063
A2058,AZD1775.GEMCITABINE,68.52085083
A2058,AZD1775.GEMCITABINE,78.94428828
A2058,BEZ-235.GEMCITABINE,131.455957
A2058,BORTEZOMIB.GEMCITABINE,118.9927133
A2058,DASATINIB.GEMCITABINE,110.6734865
A2058,DINACICLIB.GEMCITABINE,100.0639846
A2058,ERLOTINIB.GEMCITABINE,100.6190971
A2058,GEMCITABINE.LAPATINIB,98.1478014
A2058,GEMCITABINE.MK-2206,102.3019254
A2058,GEMCITABINE.MK-4827,112.3750932
A2058,GEMCITABINE.MK-5108,75.81402255
A2058,GEMCITABINE.MK-8669,105.9848343
A2058,GEMCITABINE.MK-8776,92.87449531
A2058,GEMCITABINE.MK-8776,111.4404693
A2058,GEMCITABINE.PD325901,106.057201
A2058,GEMCITABINE.SORAFENIB,49.79394656
A2058,GEMCITABINE.SUNITINIB,55.52687282
A2058,GEMCITABINE.TEMOZOLOMIDE,123.0798906
A2058,GELDANAMYCIN.GEMCITABINE,140.1696636
A2058,ABT-888.L778123,16.70395437
A2058,AZD1775.L778123,41.24284732
A2058,AZD1775.L778123,63.61803796
A2058,BEZ-235.L778123,116.5744862
A2058,BORTEZOMIB.L778123,84.46102923
A2058,DASATINIB.L778123,46.14816504
A2058,DINACICLIB.L778123,71.35790583
A2058,ERLOTINIB.L778123,36.00610416
A2058,ETOPOSIDE.L778123,143.7333738
A2058,GEMCITABINE.L778123,65.00943385
A2058,L778123.LAPATINIB,29.63843214
A2058,L778123.MK-2206,41.454657
A2058,L778123.MK-4827,101.2810154
A2058,L778123.MK-5108,32.8055344
A2058,L778123.MK-8669,49.8317481
A2058,L778123.MK-8669,90.45371698
A2058,L778123.MK-8776,52.83308511
A2058,L778123.OXALIPLATIN,31.23387975
A2058,L778123.PD325901,50.01821208
A2058,L778123.SN-38,51.28769821
A2058,L778123.SORAFENIB,25.36183945
A2058,L778123.SUNITINIB,40.13360234
A2058,L778123.TEMOZOLOMIDE,93.87978013
A2058,L778123.TOPOTECAN,129.9019592
A2058,L778123.VINORELBINE,172.6618143
A2058,L778123.ZOLINZA,46.11273479
A2058,GELDANAMYCIN.L778123,138.5846869
A2058,ABT-888.LAPATINIB,-6.159274054
A2058,BEZ-235.LAPATINIB,167.5519891
A2058,BORTEZOMIB.LAPATINIB,107.6314196
A2058,DASATINIB.LAPATINIB,32.34733185
A2058,DINACICLIB.LAPATINIB,91.20516004
A2058,ERLOTINIB.LAPATINIB,16.96904626
A2058,LAPATINIB.MK-2206,27.38573585
A2058,LAPATINIB.MK-2206,54.24886946
A2058,LAPATINIB.MK-4827,146.6342675
A2058,LAPATINIB.MK-5108,24.65289713
A2058,LAPATINIB.MK-8669,42.76634547
A2058,LAPATINIB.MK-8776,56.63965662
A2058,LAPATINIB.OXALIPLATIN,21.72034328
A2058,LAPATINIB.PD325901,43.11426901
A2058,LAPATINIB.SN-38,53.69576635
A2058,LAPATINIB.SORAFENIB,24.16926849
A2058,LAPATINIB.TOPOTECAN,200.038149
A2058,GELDANAMYCIN.LAPATINIB,208.5214552
A2058,ABT-888.MK-2206,11.05187694
A2058,BEZ-235.MK-2206,179.3465415
A2058,BORTEZOMIB.MK-2206,123.2583564
A2058,DASATINIB.MK-2206,54.49951368
A2058,DINACICLIB.MK-2206,104.2680921
A2058,ERLOTINIB.MK-2206,38.50727804
A2058,ERLOTINIB.MK-2206,66.00771068
A2058,MK-2206.MK-8669,62.6546402
A2058,MK-2206.MK-8669,108.0916127
A2058,MK-2206.MK-8776,71.91332031
A2058,MK-2206.OXALIPLATIN,36.80227685
A2058,MK-2206.PD325901,62.98031134
A2058,MK-2206.SN-38,69.18490416
A2058,MK-2206.SORAFENIB,33.05489256
A2058,MK-2206.TOPOTECAN,206.3226047
A2058,GELDANAMYCIN.MK-2206,217.740483
A2058,5-FU.MK-4541,21.74505888
A2058,ABT-888.MK-4541,-18.43399037
A2058,AZD1775.MK-4541,38.4327671
A2058,BEZ-235.MK-4541,157.67128
A2058,BORTEZOMIB.MK-4541,95.51823504
A2058,CARBOPLATIN.MK-4541,35.49114573
A2058,CYCLOPHOSPHAMIDE.MK-4541,-21.73484919
A2058,DASATINIB.MK-4541,16.20431612
A2058,DEXAMETHASONE.MK-4541,-41.94806648
A2058,DINACICLIB.MK-4541,81.06890906
A2058,DOXORUBICIN.MK-4541,219.0890503
A2058,ERLOTINIB.MK-4541,1.397285952
A2058,ETOPOSIDE.MK-4541,210.2351495
A2058,GEMCITABINE.MK-4541,94.33306029
A2058,L778123.MK-4541,20.921655
A2058,LAPATINIB.MK-4541,-10.9268374
A2058,MK-2206.MK-4541,12.28281796
A2058,MK-4541.MK-4827,138.432627
A2058,MK-4541.MK-5108,13.77404969
A2058,MK-4541.MK-8669,28.15572151
A2058,MK-4541.MK-8776,45.21559014
A2058,MK-4541.MRK-003,-18.09262463
A2058,METFORMIN.MK-4541,-19.49583937
A2058,METHOTREXATE.MK-4541,167.2930514
A2058,MITOMYCINE.MK-4541,207.5801169
A2058,MK-4541.OXALIPLATIN,10.73223696
A2058,MK-4541.PD325901,28.51660774
A2058,MK-4541.PACLITAXEL,236.4482445
A2058,MK-4541.SN-38,42.14254425
A2058,MK-4541.SORAFENIB,17.59829089
A2058,MK-4541.SUNITINIB,46.1878645
A2058,MK-4541.TEMOZOLOMIDE,113.4071884
A2058,MK-4541.TOPOTECAN,193.8261901
A2058,MK-4541.VINBLASTINE,73.26956188
A2058,MK-4541.VINORELBINE,261.2962032
A2058,MK-4541.ZOLINZA,32.20888595
A2058,GELDANAMYCIN.MK-4541,200.1350749
A2058,ABT-888.MK-4827,104.3556399
A2058,BEZ-235.MK-4827,221.827502
A2058,BORTEZOMIB.MK-4827,193.8294
A2058,DASATINIB.MK-4827,169.5578708
A2058,DINACICLIB.MK-4827,163.1060324
A2058,ERLOTINIB.MK-4827,152.1859193
A2058,MK-2206.MK-4827,156.3343149
A2058,MK-4827.MK-8669,164.2398004
A2058,MK-4827.MK-8776,146.9551764
A2058,MK-4827.MK-8776,181.1929406
A2058,MK-4827.OXALIPLATIN,115.1756139
A2058,MK-4827.PD325901,164.4023689
A2058,MK-4827.SN-38,145.7530049
A2058,MK-4827.SN-38,172.9176826
A2058,MK-4827.SORAFENIB,77.80835707
A2058,MK-4827.TOPOTECAN,215.1206514
A2058,GELDANAMYCIN.MK-4827,241.2562332
A2058,ABT-888.MK-5108,11.63824999
A2058,BEZ-235.MK-5108,133.8384029
A2058,BORTEZOMIB.MK-5108,93.52928298
A2058,DASATINIB.MK-5108,44.48991416
A2058,DINACICLIB.MK-5108,79.08717399
A2058,ERLOTINIB.MK-5108,32.64566025
A2058,MK-2206.MK-5108,39.54727117
A2058,MK-4827.MK-5108,116.5458602
A2058,MK-5108.MK-8669,49.99974142
A2058,MK-5108.MK-8776,55.83464095
A2058,MK-5108.OXALIPLATIN,30.06833785
A2058,MK-5108.PD325901,50.2337928
A2058,MK-5108.SN-38,53.87977408
A2058,MK-5108.SORAFENIB,26.04798097
A2058,MK-5108.TOPOTECAN,152.471144
A2058,GELDANAMYCIN.MK-5108,161.4409727
A2058,BEZ-235.MK-8669,188.8686677
A2058,DINACICLIB.MK-8669,114.0205493
A2058,MK-8669.MK-8776,82.89571507
A2058,MK-8669.OXALIPLATIN,47.35909559
A2058,MK-8669.SN-38,80.29075319
A2058,MK-8669.SORAFENIB,39.37016513
A2058,MK-8669.TOPOTECAN,212.3278302
A2058,GELDANAMYCIN.MK-8669,225.8356097
A2058,5-FU.MRK-003,17.80190371
A2058,ABT-888.MRK-003,-11.97605074
A2058,AZD1775.MRK-003,29.85836722
A2058,BEZ-235.MRK-003,119.1118848
A2058,BORTEZOMIB.MRK-003,73.04831241
A2058,CARBOPLATIN.MRK-003,28.367742
A2058,CYCLOPHOSPHAMIDE.MRK-003,-14.42242081
A2058,DASATINIB.MRK-003,14.43773305
A2058,DEXAMETHASONE.MRK-003,-29.40307056
A2058,DINACICLIB.MRK-003,61.97709378
A2058,DOXORUBICIN.MRK-003,164.0455622
A2058,ERLOTINIB.MRK-003,3.30362479
A2058,ETOPOSIDE.MRK-003,158.0686182
A2058,GEMCITABINE.MRK-003,70.95896302
A2058,L778123.MRK-003,16.88033243
A2058,LAPATINIB.MRK-003,-5.83016983
A2058,LAPATINIB.MRK-003,25.82990198
A2058,MK-2206.MRK-003,11.3599324
A2058,MK-4827.MRK-003,104.5094151
A2058,MK-5108.MRK-003,11.85964144
A2058,MK-8669.MRK-003,23.13514122
A2058,MK-8776.MRK-003,35.40507384
A2058,METFORMIN.MRK-003,-12.79096698
A2058,METHOTREXATE.MRK-003,125.3607683
A2058,MITOMYCINE.MRK-003,155.7567901
A2058,MRK-003.OXALIPLATIN,9.605258556
A2058,MRK-003.PD325901,23.40260533
A2058,MRK-003.PACLITAXEL,177.6596238
A2058,MRK-003.SN-38,33.13026888
A2058,MRK-003.SORAFENIB,14.08841702
A2058,MRK-003.SUNITINIB,35.27704734
A2058,MRK-003.SUNITINIB,28.79577739
A2058,MRK-003.TEMOZOLOMIDE,86.31767902
A2058,MRK-003.TOPOTECAN,145.5633232
A2058,MRK-003.VINBLASTINE,56.72278052
A2058,MRK-003.VINBLASTINE,158.7401813
A2058,MRK-003.VINORELBINE,196.0752258
A2058,MRK-003.ZOLINZA,25.76539713
A2058,GELDANAMYCIN.MRK-003,150.5876262
A2058,ABT-888.METFORMIN,-13.04119771
A2058,AZD1775.METFORMIN,28.5566878
A2058,BEZ-235.METFORMIN,116.2085463
A2058,BORTEZOMIB.METFORMIN,70.64860944
A2058,DASATINIB.METFORMIN,12.55721074
A2058,DINACICLIB.METFORMIN,59.95551753
A2058,ERLOTINIB.METFORMIN,1.658456471
A2058,L778123.METFORMIN,15.72054818
A2058,LAPATINIB.METFORMIN,-7.375473927
A2058,METFORMIN.MK-2206,9.634698512
A2058,METFORMIN.MK-4827,102.0098511
A2058,METFORMIN.MK-5108,10.55850284
A2058,METFORMIN.MK-8669,21.27314528
A2058,METFORMIN.MK-8776,33.67402242
A2058,METFORMIN.PD325901,21.53768507
A2058,METFORMIN.SORAFENIB,13.19246898
A2058,METFORMIN.SUNITINIB,34.14943368
A2058,METFORMIN.TEMOZOLOMIDE,83.76487763
A2058,METFORMIN.ZOLINZA,24.13974099
A2058,GELDANAMYCIN.METFORMIN,147.3369626
A2058,ABT-888.METHOTREXATE,125.3070796
A2058,AZD1775.METHOTREXATE,110.5769227
A2058,BEZ-235.METHOTREXATE,196.4093817
A2058,BORTEZOMIB.METHOTREXATE,186.6341769
A2058,DASATINIB.METHOTREXATE,187.1980481
A2058,DINACICLIB.METHOTREXATE,156.8057496
A2058,ERLOTINIB.METHOTREXATE,172.6906071
A2058,L778123.METHOTREXATE,107.8228387
A2058,LAPATINIB.METHOTREXATE,170.7523138
A2058,METHOTREXATE.MK-2206,173.5432132
A2058,METHOTREXATE.MK-4827,167.2169853
A2058,METHOTREXATE.MK-5108,127.7341444
A2058,METHOTREXATE.MK-8669,176.8990765
A2058,METHOTREXATE.MK-8776,151.16687
A2058,METHOTREXATE.PD325901,176.9558354
A2058,METHOTREXATE.SORAFENIB,82.29200293
A2058,METHOTREXATE.SUNITINIB,86.7884671
A2058,METHOTREXATE.TEMOZOLOMIDE,190.3071172
A2058,METHOTREXATE.ZOLINZA,149.1212228
A2058,GELDANAMYCIN.METHOTREXATE,203.4293911
A2058,ABT-888.MITOMYCINE,155.6609748
A2058,AZD1775.MITOMYCINE,141.9234468
A2058,BEZ-235.MITOMYCINE,259.5424024
A2058,BORTEZOMIB.MITOMYCINE,242.0971413
A2058,DASATINIB.MITOMYCINE,236.1914182
A2058,DINACICLIB.MITOMYCINE,203.4725526
A2058,ERLOTINIB.MITOMYCINE,216.7572121
A2058,L778123.MITOMYCINE,137.0083872
A2058,LAPATINIB.MITOMYCINE,213.2980485
A2058,MITOMYCINE.MK-2206,218.7344309
A2058,MITOMYCINE.MK-4827,221.3163872
A2058,MITOMYCINE.MK-5108,161.3912007
A2058,MITOMYCINE.MK-8669,224.267832
A2058,MITOMYCINE.MK-8776,193.4091596
A2058,MITOMYCINE.MK-8776,123.7791017
A2058,MITOMYCINE.PD325901,224.3691264
A2058,MITOMYCINE.SORAFENIB,104.7028051
A2058,MITOMYCINE.SUNITINIB,112.727393
A2058,MITOMYCINE.TEMOZOLOMIDE,248.1964119
A2058,MITOMYCINE.ZOLINZA,189.7584077
A2058,GELDANAMYCIN.MITOMYCINE,271.889599
A2058,DINACICLIB.OXALIPLATIN,77.31144221
A2058,MK-8776.OXALIPLATIN,53.79112038
A2058,OXALIPLATIN.SORAFENIB,24.8648885
A2058,ABT-888.PD325901,23.10656282
A2058,BEZ-235.PD325901,189.0655047
A2058,BORTEZOMIB.PD325901,135.1645377
A2058,DASATINIB.PD325901,70.3567617
A2058,DINACICLIB.PD325901,114.2312254
A2058,MK-8669.PD325901,77.00782515
A2058,MK-8776.PD325901,83.13816209
A2058,OXALIPLATIN.PD325901,47.59584244
A2058,PD325901.SN-38,80.53632985
A2058,PD325901.SORAFENIB,39.51052938
A2058,PD325901.TOPOTECAN,212.4413124
A2058,GELDANAMYCIN.PD325901,225.9954877
A2058,ABT-888.PACLITAXEL,177.5163784
A2058,AZD1775.PACLITAXEL,167.1713714
A2058,BEZ-235.PACLITAXEL,314.1326529
A2058,BORTEZOMIB.PACLITAXEL,288.0517218
A2058,DASATINIB.PACLITAXEL,273.60904
A2058,DINACICLIB.PACLITAXEL,242.1715451
A2058,ERLOTINIB.PACLITAXEL,249.7981142
A2058,L778123.PACLITAXEL,159.8232823
A2058,LAPATINIB.PACLITAXEL,244.6266119
A2058,MK-2206.PACLITAXEL,253.1241139
A2058,MK-4827.PACLITAXEL,268.2501966
A2058,MK-5108.PACLITAXEL,187.2191574
A2058,MK-8669.PACLITAXEL,261.0266054
A2058,MK-8776.PACLITAXEL,227.1266194
A2058,PACLITAXEL.PD325901,261.178042
A2058,PACLITAXEL.SORAFENIB,122.2931886
A2058,PACLITAXEL.SUNITINIB,134.2900698
A2058,PACLITAXEL.TEMOZOLOMIDE,296.8001969
A2058,PACLITAXEL.ZOLINZA,221.6686896
A2058,GELDANAMYCIN.PACLITAXEL,332.4448854
A2058,DINACICLIB.SN-38,106.2255925
A2058,MK-8776.SN-38,81.82804609
A2058,SN-38.SORAFENIB,40.16221548
A2058,DINACICLIB.SORAFENIB,55.26820657
A2058,MK-8776.SORAFENIB,41.32330095
A2058,ABT-888.SUNITINIB,35.16823939
A2058,AZD1775.SUNITINIB,45.71514755
A2058,BEZ-235.SUNITINIB,105.1962726
A2058,BORTEZOMIB.SUNITINIB,85.38542171
A2058,DASATINIB.SUNITINIB,64.27866893
A2058,DINACICLIB.SUNITINIB,71.95806182
A2058,ERLOTINIB.SUNITINIB,55.66016171
A2058,LAPATINIB.SUNITINIB,51.7319331
A2058,MK-2206.SUNITINIB,58.85471133
A2058,MK-2206.SUNITINIB,46.33520873
A2058,MK-4827.SUNITINIB,90.68711147
A2058,MK-5108.SUNITINIB,44.58963973
A2058,MK-8669.SUNITINIB,64.18922697
A2058,MK-8776.SUNITINIB,60.53006573
A2058,OXALIPLATIN.SUNITINIB,43.62008308
A2058,PD325901.SUNITINIB,64.30425695
A2058,SN-38.SUNITINIB,59.61691229
A2058,SORAFENIB.SUNITINIB,31.06819868
A2058,SUNITINIB.TEMOZOLOMIDE,91.36253921
A2058,SUNITINIB.TOPOTECAN,108.3434245
A2058,GELDANAMYCIN.SUNITINIB,118.8406263
A2058,ABT-888.TEMOZOLOMIDE,86.09279225
A2058,AZD1775.TEMOZOLOMIDE,105.4158449
A2058,BEZ-235.TEMOZOLOMIDE,235.3671101
A2058,BORTEZOMIB.TEMOZOLOMIDE,194.4215923
A2058,DASATINIB.TEMOZOLOMIDE,152.1610402
A2058,DINACICLIB.TEMOZOLOMIDE,163.7881555
A2058,ERLOTINIB.TEMOZOLOMIDE,133.0746169
A2058,LAPATINIB.TEMOZOLOMIDE,124.9556646
A2058,MK-2206.TEMOZOLOMIDE,139.5873159
A2058,MK-4827.TEMOZOLOMIDE,202.643056
A2058,MK-4827.TEMOZOLOMIDE,225.6031182
A2058,MK-5108.TEMOZOLOMIDE,105.2892546
A2058,MK-8669.TEMOZOLOMIDE,150.7026833
A2058,MK-8776.TEMOZOLOMIDE,140.1685129
A2058,MK-8776.TEMOZOLOMIDE,169.5793018
A2058,OXALIPLATIN.TEMOZOLOMIDE,103.2853528
A2058,PD325901.TEMOZOLOMIDE,150.9404298
A2058,SN-38.TEMOZOLOMIDE,138.3028615
A2058,SORAFENIB.TEMOZOLOMIDE,72.52814589
A2058,TEMOZOLOMIDE.TOPOTECAN,239.1355259
A2058,GELDANAMYCIN.TEMOZOLOMIDE,263.6032767
A2058,BEZ-235.TOPOTECAN,252.0406409
A2058,DINACICLIB.TOPOTECAN,195.443365
A2058,MK-8776.TOPOTECAN,184.1691324
A2058,SORAFENIB.TOPOTECAN,99.35330834
A2058,ABT-888.VINBLASTINE,56.44275788
A2058,AZD1775.VINBLASTINE,89.87592046
A2058,BEZ-235.VINBLASTINE,225.1306116
A2058,BORTEZOMIB.VINBLASTINE,174.1464094
A2058,DASATINIB.VINBLASTINE,116.3629204
A2058,DINACICLIB.VINBLASTINE,146.9120414
A2058,ERLOTINIB.VINBLASTINE,97.4186352
A2058,L778123.VINBLASTINE,75.51153846
A2058,LAPATINIB.VINBLASTINE,87.30914503
