CELL_LINE.DRUG,SCORE
UWB1289.DASATINIB,0.6865
A2058.ABT-888,1.9359393
T47D.SUNITINIB,4.2815
NCIH1650.GEMCITABINE,0.521
OCUBM.SN-38,0.1775
NCIH2122.AZD1775,0.836875
HCT116.GEMCITABINE,17.855
SKMEL30.ABT-888,2.2663143
RKO.SUNITINIB,37.4385
SW837.GEMCITABINE,1.066
SKOV3.MK-8669,1.993875
SKOV3.SUNITINIB,10.2905
RKO.BEZ-235,9.38384375
MSTO.DASATINIB,1.072
SKMEL30.TOPOTECAN,0.1775
A427.PD325901,0.458
OVCAR3.GEMCITABINE,1.401
NCIH23.MK-4827,4.5313143
MDAMB436.TOPOTECAN,0.355
OV90.DINACICLIB,0.5325
LOVO.ABT-888,4.7805
HT29.MK-8776,1.6655
NCIH2122.MK-8669,2.033375
SW620.AZD1775,1.447875
VCAP.BEZ-235,0.464375
NCIH23.SUNITINIB,9.3975
NCIH23.LAPATINIB,3.588625
SKMES1.MK-5108,0.5
MDAMB436.DOXORUBICIN,0.355
LOVO.DOXORUBICIN,1.055
RKO.ZOLINZA,1.797
SKMES1.DINACICLIB,1.0895
A427.5-FU,1.446
A427.MK-4541,0.44
NCIH23.MK-2206,1.137125
SW837.DOXORUBICIN,1.0325
SW837.DASATINIB,0.795
NCIH23.SORAFENIB,9.3975
A2058.MK-8776,1.19334375
A2058.ERLOTINIB,0.828125
A2058.GELDANAMYCIN,0.4305
MSTO.GEMCITABINE,4.49
MDAMB436.MK-8669,1.367375
NCIH520.GEMCITABINE,1.569
SW837.MK-5108,0.5
HCT116.ETOPOSIDE,0.458
NCIH520.MK-4827,3.5503143
OVCAR3.MK-2206,0.450625
HT29.SUNITINIB,6.3355
NCIH520.SUNITINIB,5.6975
OV90.GEMCITABINE,2.82
HCT116.DINACICLIB,5.3565
SW837.MK-4827,2.2823143
NCIH2122.LAPATINIB,2.85971875
NCIH23.DASATINIB,3.1175
LOVO.BEZ-235,3.1745
SW620.DOXORUBICIN,2.2905
OV90.SUNITINIB,5.7365
LOVO.ZOLINZA,0.2
A427.BEZ-235,1.1805
UWB1289.TOPOTECAN,0.355
A2058.MK-2206,0.450625
SKMEL30.BEZ-235,1.810375
RPMI7951.MK-2206,0.450625
SW837.TOPOTECAN,1.0325
VCAP.MK-8776,0.85
RPMI7951.SORAFENIB,2.8615
A2780.VINORELBINE,0.2
SW837.GELDANAMYCIN,0.4305
PA1.SORAFENIB,3.832
ES2.SUNITINIB,13.9165
NCIH1650.ERLOTINIB,0.450625
VCAP.SORAFENIB,4.0655
SKOV3.SORAFENIB,10.2905
A2780.DASATINIB,3.915
A427.SN-38,1.313
A427.ERLOTINIB,1.7605
RPMI7951.ABT-888,1.6013143
A375.MK-2206,0.7375
SW837.MK-2206,0.273125
SKMES1.ETOPOSIDE,0.2
NCIH520.SN-38,0.1775
A427.ABT-888,1.639
LOVO.PD325901,0.458
SW837.MK-4541,0.44
HCT116.LAPATINIB,13.2605
SKMEL30.ETOPOSIDE,0.458
SKMEL30.MK-4541,0.44
HT29.LAPATINIB,1.347625
NCIH520.DINACICLIB,2.372
SKMES1.MK-2206,0.881125
SKMEL30.GELDANAMYCIN,0.4305
PA1.MK-4827,1.415
A2058.5-FU,1.581
A427.SORAFENIB,3.988
UWB1289.BEZ-235,1.012375
NCIH2122.MK-2206,0.61646875
OCUBM.GELDANAMYCIN,0.4305
MDAMB436.DASATINIB,0.7645
PA1.PD325901,0.458
OCUBM.5-FU,1.727
SW837.SN-38,1.4905
T47D.TOPOTECAN,0.1775
NCIH1650.MK-2206,1.843125
RKO.ETOPOSIDE,1.22
MDAMB436.LAPATINIB,3.955625
SW620.DINACICLIB,1.797
NCIH2122.5-FU,0.955
SKMES1.SUNITINIB,3.1075
HT29.GELDANAMYCIN,0.4305
SW620.ABT-888,2.4133143
RPMI7951.DOXORUBICIN,0.1775
SKMEL30.LAPATINIB,1.487625
MDAMB436.SN-38,0.355
SW837.BEZ-235,3.075
HCT116.BEZ-235,7.107625
UWB1289.AZD1775,0.836875
RPMI7951.DASATINIB,0.6175
VCAP.MK-8669,0.464375
UACC62.LAPATINIB,1.6955
HCT116.DASATINIB,8.665
NCIH1650.ETOPOSIDE,0.167
MDAMB436.GELDANAMYCIN,0.4305
A427.DOXORUBICIN,0.855
SKMEL30.SORAFENIB,6.6225
HT29.MK-8669,1.442875
A427.MK-8669,1.1805
NCIH2122.GELDANAMYCIN,0.4305
LOVO.MK-8669,1.933
NCIH23.ETOPOSIDE,0.458
OVCAR3.SN-38,0.1775
SKOV3.SN-38,0.1775
SW620.ETOPOSIDE,1.069
A2058.DOXORUBICIN,0.1775
LOVO.GELDANAMYCIN,0.2
NCIH23.SN-38,1.4905
OVCAR3.MK-4541,0.56
ES2.LAPATINIB,2.056625
ES2.MK-8776,0.85
NCIH520.BEZ-235,2.3755
SKOV3.LAPATINIB,2.934125
OVCAR3.ERLOTINIB,1.128125
SKMEL30.5-FU,0.44
SKMES1.ZOLINZA,0.2
A2058.LAPATINIB,1.005625
OVCAR3.MK-4827,0.5173143
ES2.ABT-888,2.1818143
SKMES1.MK-4541,0.56
SW837.DINACICLIB,3.5435
HCT116.MK-8776,2.6221408
SW837.PD325901,0.458
SKMES1.SN-38,0.3775
HCT116.ABT-888,17.06234375
PA1.MK-8669,1.003
SW620.TOPOTECAN,1.6615
UACC62.MK-2206,0.1775
MSTO.MK-8669,1.647
NCIH2122.SUNITINIB,4.1495
OV90.MK-2206,1.010625
PA1.DASATINIB,1.389
T47D.LAPATINIB,1.660625
HT29.GEMCITABINE,6.189
VCAP.DOXORUBICIN,0.1775
A375.ERLOTINIB,1.844
A2780.SORAFENIB,11.707
HT29.5-FU,2.015
SW837.SUNITINIB,2.186
OCUBM.ERLOTINIB,2.538125
SKMES1.BEZ-235,1.000375
OV90.ERLOTINIB,0.273125
NCIH520.ABT-888,3.5503143
SW620.SN-38,2.7305
UWB1289.MK-4827,2.3803143
A427.MK-4827,1.639
MSTO.ERLOTINIB,2.502
SW620.MK-4541,0.44
NCIH2122.DINACICLIB,2.571
HT144.ERLOTINIB,0.542
OVCAR3.TOPOTECAN,0.1775
RPMI7951.ERLOTINIB,2.421125
LOVO.MK-2206,1.0875
NCIH23.MK-4541,0.44
SKMES1.TOPOTECAN,0.1775
NCIH2122.MK-8776,1.41
HT29.BEZ-235,2.002875
SW620.5-FU,2.482
SW620.SUNITINIB,13.4155
SW837.ABT-888,2.2823143
A427.GEMCITABINE,5.383
NCIH520.DOXORUBICIN,0.1775
RKO.DASATINIB,11.065
OV90.SORAFENIB,5.7365
HCT116.TOPOTECAN,1.0325
SKOV3.DASATINIB,3.2735
A2780.BEZ-235,2.875
ES2.DASATINIB,4.2915
HT29.DOXORUBICIN,1.4355
UACC62.SN-38,0.1775
SW837.MK-8776,1.6787579
RKO.5-FU,3.578
NCIH520.MK-8669,2.102375
OCUBM.SUNITINIB,5.6285
NCIH520.GELDANAMYCIN,0.4305
SW620.MK-4827,2.4133143
A2058.MK-8669,1.924375
MDAMB436.BEZ-235,1.367375
OVCAR3.5-FU,0.467
PA1.GEMCITABINE,1.066
HT29.DASATINIB,1.7645
UACC62.5-FU,0.569
VCAP.DASATINIB,1.1865
NCIH2122.GEMCITABINE,4.452
OCUBM.TOPOTECAN,0.1775
HT29.SN-38,1.4175
ES2.SN-38,0.1775
LOVO.MK-5108,0.73
UWB1289.SORAFENIB,3.1105
T47D.MK-4827,0.86065805
RPMI7951.MK-8669,1.361375
NCIH520.MK-8776,1.2482579
MDAMB436.ABT-888,2.5803143
NCIH520.TOPOTECAN,0.1775
OCUBM.SORAFENIB,5.6285
LOVO.METHOTREXATE,0.191
SKMES1.LAPATINIB,2.413625
HCT116.MK-5108,1.605
SKOV3.GEMCITABINE,2.951
UACC62.DOXORUBICIN,0.1775
A375.DINACICLIB,0.76
OV90.TOPOTECAN,0.1775
UACC62.DINACICLIB,1.096
SKOV3.DOXORUBICIN,0.3505
SW837.LAPATINIB,2.197625
HT144.DINACICLIB,0.7255
VCAP.TOPOTECAN,0.1775
LOVO.SORAFENIB,27.142
RKO.SORAFENIB,37.4385
SKMEL30.MK-8669,1.810375
T47D.BEZ-235,2.574875
OVCAR3.DOXORUBICIN,0.1775
SKMEL30.DOXORUBICIN,0.1775
A2058.SUNITINIB,7.1735
A427.DINACICLIB,1.1775
A375.MK-5108,0.835
NCIH520.MK-4541,0.1775
HCT116.GELDANAMYCIN,0.2
OVCAR3.DINACICLIB,0.5325
A2058.DASATINIB,2.2225
SKOV3.MK-2206,0.6713829
UWB1289.MK-2206,0.273125
VCAP.L778123,0.2
A375.MK-8776,0.647
HCT116.SN-38,1.4905
NCIH1650.TOPOTECAN,0.1775
NCIH2122.PD325901,0.458
NCIH23.ERLOTINIB,3.411125
VCAP.MK-4827,0.5173143
SW620.METFORMIN,0.629
SKOV3.DINACICLIB,1.809
A2780.5-FU,0.5
SKMEL30.AZD1775,0.836875
NCIH1650.MK-8776,0.85
SKOV3.MK-4827,3.74265805
NCIH1650.SORAFENIB,3.432
OV90.BEZ-235,0.464375
HCT116.ERLOTINIB,12.5505
A2780.DOXORUBICIN,0.2
PA1.DINACICLIB,0.994
ES2.DINACICLIB,1.0805
SKOV3.GELDANAMYCIN,0.4305
LOVO.TOPOTECAN,0.855
OCUBM.DINACICLIB,0.7355
RKO.METFORMIN,1.177
NCIH2122.SORAFENIB,4.1495
SW620.MK-2206,2.341125
UWB1289.DOXORUBICIN,0.355
UACC62.BEZ-235,3.5405
MSTO.BEZ-235,1.99034375
A2058.MK-5108,0.5
LOVO.DINACICLIB,1.1655
SKMES1.ABT-888,1.2518143
NCIH23.AZD1775,0.836875
A427.LAPATINIB,1.7605
MDAMB436.DINACICLIB,1.0715
HCT116.ZOLINZA,0.167
A2058.ETOPOSIDE,0.855
RKO.MK-8776,4.18175
NCIH23.DINACICLIB,2.4355
NCIH520.MK-2206,0.450625
A2058.MK-4827,1.9359393
A2780.ERLOTINIB,1.067
MSTO.DINACICLIB,1.2855
OVCAR3.DASATINIB,0.6865
PA1.ETOPOSIDE,0.458
A2780.DINACICLIB,0.76
RKO.ABT-888,17.75221875
RKO.SN-38,2.3815
OVCAR3.SUNITINIB,2.5655
A375.GEMCITABINE,1.036
ES2.ERLOTINIB,1.879125
SW837.AZD1775,0.836875
HCT116.MK-4827,17.06234375
SW620.MK-8776,1.6655
HT144.MK-8669,0.554
SKMES1.ERLOTINIB,2.236125
SW620.GEMCITABINE,7.593
ES2.5-FU,0.5
NCIH520.ERLOTINIB,1.884125
LOVO.LAPATINIB,5.2025
SKMEL30.SN-38,0.6355
MSTO.MK-8776,1.16784375
HT29.MK-5108,0.611
SKMEL30.MK-2206,0.450625
HCT116.MK-4541,1.0
LOVO.DASATINIB,9.3335
SW620.LAPATINIB,1.860625
NCIH23.DOXORUBICIN,1.0325
MSTO.ABT-888,2.7955
ES2.SORAFENIB,13.9165
SKMES1.DOXORUBICIN,0.1775
NCIH520.DASATINIB,1.2075
RPMI7951.BEZ-235,1.361375
T47D.ABT-888,0.86065805
OCUBM.MK-8776,1.458
ES2.MK-4827,2.1818143
VCAP.ABT-888,0.5173143
HT29.METHOTREXATE,0.5
A375.BEZ-235,0.608
RPMI7951.MK-8776,0.85
SW620.MK-5108,1.611
RPMI7951.SN-38,0.1775
NCIH23.5-FU,0.769
OCUBM.AZD1775,0.836875
MSTO.AZD1775,0.1775
SKMEL30.SUNITINIB,6.6225
SKOV3.5-FU,0.7
PA1.BEZ-235,1.003
HT29.ERLOTINIB,0.992625
PA1.SN-38,0.458
UWB1289.SUNITINIB,3.1105
OVCAR3.SORAFENIB,2.5655
A2058.DINACICLIB,0.71
SKMES1.MK-8776,1.0275
NCIH1650.GELDANAMYCIN,0.4305
ES2.MK-2206,0.628125
NCIH1650.DINACICLIB,1.0895
A2780.MK-8776,1.178
SKMES1.AZD1775,0.836875
UACC62.ERLOTINIB,1.6955
RKO.MK-2206,4.81410165
SW837.MK-8669,2.241875
OCUBM.LAPATINIB,3.248125
MSTO.SORAFENIB,4.6225
NCIH2122.ERLOTINIB,2.50471875
A427.TOPOTECAN,0.855
OVCAR3.MK-8669,0.464375
ES2.MK-8669,1.012375
PA1.SUNITINIB,3.832
NCIH2122.DASATINIB,1.1385
ES2.GEMCITABINE,2.027
UACC62.ABT-888,6.29246875
VCAP.ETOPOSIDE,0.224
RPMI7951.LAPATINIB,2.598625
SKOV3.TOPOTECAN,0.1775
SW620.METHOTREXATE,0.5
A375.LAPATINIB,1.844
VCAP.ERLOTINIB,0.473125
RPMI7951.SUNITINIB,2.8615
SW620.ERLOTINIB,1.683125
HT144.ABT-888,1.5875
UACC62.MK-8776,0.473125
LOVO.MK-4827,4.7805
A375.ABT-888,1.114
A427.METHOTREXATE,0.855
MDAMB436.GEMCITABINE,3.443
SKMES1.MK-4827,1.2518143
A375.MK-8669,0.1775
A427.DASATINIB,1.455
ES2.BEZ-235,1.012375
A2780.GEMCITABINE,2.53
RPMI7951.GEMCITABINE,0.509
VCAP.GELDANAMYCIN,0.4305
OV90.ABT-888,0.5173143
UWB1289.ERLOTINIB,1.035625
NCIH1650.AZD1775,0.836875
MDAMB436.SORAFENIB,3.3445
A2780.SUNITINIB,11.707
OVCAR3.ABT-888,0.5173143
T47D.SORAFENIB,4.2815
SKMEL30.MK-8776,1.0275
SW837.ETOPOSIDE,0.458
RKO.TOPOTECAN,1.1615
NCIH2122.MK-4827,3.7889393
A2058.TOPOTECAN,0.1775
MSTO.MK-5108,0.605
T47D.GELDANAMYCIN,0.4305
SKMES1.SORAFENIB,3.1075
VCAP.SUNITINIB,4.0655
OV90.DOXORUBICIN,0.1775
VCAP.SN-38,0.4015
HT29.SORAFENIB,6.3355
A2058.SORAFENIB,7.1735
UACC62.SORAFENIB,2.566
A375.DOXORUBICIN,0.2
HCT116.DOXORUBICIN,1.2055
NCIH1650.MK-8669,1.075875
T47D.AZD1775,0.836875
RKO.MK-4827,17.75221875
NCIH2122.SN-38,1.668
T47D.MK-8669,1.454875
A2058.BEZ-235,2.69821875
NCIH520.LAPATINIB,2.061625
UWB1289.GEMCITABINE,0.497
OVCAR3.GELDANAMYCIN,0.4305
HT29.ABT-888,3.51865805
LOVO.ERLOTINIB,4.67
SKOV3.ERLOTINIB,2.401625
HCT116.L778123,0.161
SW620.PD325901,0.458
RPMI7951.TOPOTECAN,0.1775
A427.MK-2206,0.355
NCIH23.GELDANAMYCIN,0.4305
NCIH2122.BEZ-235,2.37671875
A375.SORAFENIB,13.486
NCIH1650.ABT-888,2.16590805
OV90.AZD1775,0.836875
OVCAR3.AZD1775,0.836875
UWB1289.MK-8669,1.012375
SKMEL30.DASATINIB,2.1565
SKMEL30.MK-5108,0.5
NCIH1650.LAPATINIB,0.805625
A2780.LAPATINIB,1.422
ES2.MK-5108,1.0
RPMI7951.DINACICLIB,1.0895
NCIH23.MK-8776,2.0922579
HT29.ETOPOSIDE,0.611
NCIH2122.MK-4541,0.44
OCUBM.GEMCITABINE,4.781
SW837.METFORMIN,0.548
NCIH1650.SUNITINIB,3.432
OCUBM.MK-2206,0.8488829
OV90.GELDANAMYCIN,0.4305
LOVO.5-FU,4.849
A2058.GEMCITABINE,4.743
NCIH23.GEMCITABINE,4.003
ES2.AZD1775,0.836875
SKMES1.MK-8669,1.000375
SKOV3.MK-8776,1.6032579
SW620.BEZ-235,0.925375
A427.SUNITINIB,3.988
A375.MK-4827,1.114
RKO.DINACICLIB,7.45
OV90.MK-8776,1.0275
SW620.GELDANAMYCIN,0.6305
MDAMB436.ERLOTINIB,3.600625
MDAMB436.MK-8776,1.123125
A375.SUNITINIB,13.486
MSTO.SUNITINIB,4.6225
VCAP.AZD1775,0.836875
HT144.MK-2206,0.355
RKO.MK-8669,6.456
LOVO.MK-4541,0.44
SKOV3.ABT-888,3.74265805
UWB1289.ETOPOSIDE,0.2
SW620.ZOLINZA,1.797
RPMI7951.AZD1775,0.836875
HCT116.SORAFENIB,28.762
OV90.5-FU,0.94
OCUBM.DASATINIB,2.0625
T47D.ERLOTINIB,1.305625
MDAMB436.SUNITINIB,3.3445
SW620.SORAFENIB,13.4155
NCIH520.SORAFENIB,5.6975
HT144.GEMCITABINE,3.431
SW837.ERLOTINIB,1.842625
OV90.LAPATINIB,0.450625
NCIH23.TOPOTECAN,1.0325
SKOV3.ZOLINZA,0.2
T47D.DOXORUBICIN,0.1775
OVCAR3.LAPATINIB,1.305625
SW620.MK-8669,0.925375
A2780.PACLITAXEL,0.2
UWB1289.ABT-888,2.3803143
HT144.MK-8776,0.5757579
RKO.GEMCITABINE,14.944
SKMEL30.DINACICLIB,1.5115
SKOV3.AZD1775,0.836875
NCIH1650.MK-4827,2.16590805
LOVO.ETOPOSIDE,0.458
ES2.DOXORUBICIN,0.1775
HT29.TOPOTECAN,0.8065
HT144.MK-4827,1.5875
SKMES1.GELDANAMYCIN,0.6305
MDAMB436.AZD1775,0.836875
A2058.SN-38,1.0325
MSTO.MK-4827,2.7955
RPMI7951.GELDANAMYCIN,0.4305
T47D.DINACICLIB,0.5325
OV90.MK-8669,0.464375
OV90.DASATINIB,1.7435
RKO.DOXORUBICIN,1.7905
HT29.MK-4827,3.51865805
LOVO.L778123,0.573
OCUBM.MK-8669,0.894875
T47D.MK-2206,0.6713829
A2780.MK-5108,0.605
UACC62.DASATINIB,0.506
OVCAR3.BEZ-235,0.464375
RKO.AZD1775,0.611
HCT116.PD325901,0.458
SKMEL30.GEMCITABINE,2.338
HT144.5-FU,0.967
NCIH2122.DOXORUBICIN,1.21
A2058.AZD1775,0.836875
PA1.LAPATINIB,0.554
SKMEL30.MK-4827,2.2663143
HT144.LAPATINIB,0.542
A2780.MK-4827,3.55046875
UWB1289.DINACICLIB,1.0715
RKO.MK-5108,4.452
NCIH1650.DASATINIB,0.909
SW837.SORAFENIB,2.186
HT144.DASATINIB,1.9905
UACC62.MK-4827,6.29246875
OVCAR3.MK-8776,0.85
HT29.ZOLINZA,1.797
HT29.METFORMIN,0.629
A2780.MK-8669,1.8845
HT144.SORAFENIB,5.21
HT29.MK-2206,2.6128829
LOVO.SUNITINIB,27.142
T47D.SN-38,0.1775
OCUBM.BEZ-235,1.624875
MDAMB436.MK-2206,0.450625
NCIH23.MK-5108,1.263
OCUBM.MK-5108,0.715
