CELL_LINE.DRUG,GENEA,GENEB,SCORE,SOURCE
A375.SORAFENIB,ACSL1,KIT,0.551,mutation
A375.SORAFENIB,CNR1,PDGFRA,0.506,mutation
A375.SORAFENIB,CNR1,PDGFRB,0.506,mutation
A375.SORAFENIB,CNR1,KIT,0.506,mutation
A375.SORAFENIB,CST4,PDGFRA,0.506,mutation
A375.SORAFENIB,CST4,PDGFRB,0.506,mutation
A375.SORAFENIB,CST4,KIT,0.506,mutation
A375.SORAFENIB,KDR,MTOR,0.545,mutation
A375.SORAFENIB,PDE4DIP,PDGFRA,0.554,mutation
A375.SORAFENIB,PDE4DIP,PDGFRB,0.554,mutation
A375.SORAFENIB,KIT,PDE4DIP,0.554,mutation
A375.SORAFENIB,ANK3,PDGFRA,0.506,mutation
A375.SORAFENIB,ANK3,PDGFRB,0.506,mutation
A375.SORAFENIB,ANK3,KIT,0.506,mutation
A375.SORAFENIB,GPC5,PDGFRA,0.521,mutation
A375.SORAFENIB,GPC5,PDGFRB,0.521,mutation
A375.SORAFENIB,GPC5,KIT,0.521,mutation
A375.SORAFENIB,ABCC10,KDR,0.473,mutation
A375.SORAFENIB,CA2,PDGFRA,0.509,mutation
A375.SORAFENIB,CA2,PDGFRB,0.509,mutation
A375.SORAFENIB,CA2,KIT,0.509,mutation
A375.SORAFENIB,PDGFRA,SP100,0.503,mutation
A375.SORAFENIB,PDGFRB,SP100,0.503,mutation
A375.SORAFENIB,KIT,SP100,0.503,mutation
A375.ABT-888,MTOR,PARP1,0.557,mutation
A375.ABT-888,MTOR,PARP2,0.557,mutation
A375.MK-8669,HGF,MTOR,0.1775,mutation
A375.GEMCITABINE,MTOR,RRM1,0.536,mutation
A375.GEMCITABINE,ABCC10,RRM1,0.5,mutation
A375.SUNITINIB,ACSL1,PDGFRA,0.551,mutation
A375.SUNITINIB,ACSL1,PDGFRB,0.551,mutation
A375.SUNITINIB,ACSL1,KIT,0.551,mutation
A375.SUNITINIB,CNR1,PDGFRA,0.506,mutation
A375.SUNITINIB,CNR1,PDGFRB,0.506,mutation
A375.SUNITINIB,CNR1,KIT,0.506,mutation
A375.SUNITINIB,CST4,PDGFRA,0.506,mutation
A375.SUNITINIB,CST4,PDGFRB,0.506,mutation
A375.SUNITINIB,CST4,KIT,0.506,mutation
A375.SUNITINIB,KDR,MTOR,0.545,mutation
A375.SUNITINIB,PDE4DIP,PDGFRA,0.554,mutation
A375.SUNITINIB,PDE4DIP,PDGFRB,0.554,mutation
A375.SUNITINIB,KIT,PDE4DIP,0.554,mutation
A375.SUNITINIB,ANK3,PDGFRA,0.506,mutation
A375.SUNITINIB,ANK3,PDGFRB,0.506,mutation
A375.SUNITINIB,ANK3,KIT,0.506,mutation
A375.SUNITINIB,GPC5,PDGFRA,0.521,mutation
A375.SUNITINIB,GPC5,PDGFRB,0.521,mutation
A375.SUNITINIB,GPC5,KIT,0.521,mutation
A375.SUNITINIB,ABCC10,KDR,0.473,mutation
A375.SUNITINIB,CA2,PDGFRA,0.509,mutation
A375.SUNITINIB,CA2,PDGFRB,0.509,mutation
A375.SUNITINIB,CA2,KIT,0.509,mutation
A375.SUNITINIB,PDGFRA,SP100,0.503,mutation
A375.SUNITINIB,PDGFRB,SP100,0.503,mutation
A375.SUNITINIB,KIT,SP100,0.503,mutation
A375.LAPATINIB,EGFR,FGFR2,0.855,mutation
A375.LAPATINIB,EGFR,PLEC,0.2,mutation
A375.LAPATINIB,EGFR,HGF,0.1775,mutation
A375.LAPATINIB,EGFR,MTOR,0.6115,mutation
A375.MK-2206,AKT1,MTOR,0.56,mutation
A375.MK-2206,AKT1,BRAF,0.1775,mutation
A375.DOXORUBICIN,DNMT1,STIL,0.2,mutation
A375.DINACICLIB,CDK1,STIL,0.203,mutation
A375.DINACICLIB,CDK2,MTOR,0.557,mutation
A375.MK-8776,ABCC10,CHEK1,0.647,mutation
A375.MK-5108,AURKA,TACC3,0.23,mutation
A375.MK-5108,ABCC10,AURKA,0.605,mutation
A375.DASATINIB,ACSL1,KIT,0.551,mutation
A375.DASATINIB,CNR1,KIT,0.506,mutation
A375.DASATINIB,CST4,KIT,0.506,mutation
A375.DASATINIB,KIT,PDE4DIP,0.554,mutation
A375.DASATINIB,ANK3,KIT,0.506,mutation
A375.DASATINIB,GPC5,KIT,0.521,mutation
A375.DASATINIB,CA2,KIT,0.509,mutation
A375.DASATINIB,KIT,SP100,0.503,mutation
A375.BEZ-235,HGF,MTOR,0.1775,mutation
A375.BEZ-235,MTOR,PIK3CA,0.4305,mutation
A375.ERLOTINIB,EGFR,FGFR2,0.855,mutation
A375.ERLOTINIB,EGFR,PLEC,0.2,mutation
A375.ERLOTINIB,EGFR,HGF,0.1775,mutation
A375.ERLOTINIB,EGFR,MTOR,0.6115,mutation
A427.MK-4827,PARP1,PPP2R4,0.1775,mutation
A427.MK-4827,KRAS,PARP1,0.1775,mutation
A427.MK-4827,PARP1,POLE,0.548,mutation
A427.MK-4827,PARP2,POLE,0.536,mutation
A427.MK-4827,PARP1,PRR3,0.2,mutation
A427.SORAFENIB,KIT,KRAS,0.44,mutation
A427.SORAFENIB,MAML1,PDGFRA,0.509,mutation
A427.SORAFENIB,MAML1,PDGFRB,0.509,mutation
A427.SORAFENIB,KIT,MAML1,0.509,mutation
A427.SORAFENIB,KDR,POLE,0.503,mutation
A427.SORAFENIB,CARS,PDGFRA,0.506,mutation
A427.SORAFENIB,CARS,PDGFRB,0.506,mutation
A427.SORAFENIB,CARS,KIT,0.506,mutation
A427.ABT-888,PARP1,PPP2R4,0.1775,mutation
A427.ABT-888,KRAS,PARP1,0.1775,mutation
A427.ABT-888,PARP1,POLE,0.548,mutation
A427.ABT-888,PARP2,POLE,0.536,mutation
A427.ABT-888,PARP1,PRR3,0.2,mutation
A427.MK-8669,KRAS,MTOR,0.461,mutation
A427.MK-8669,BECN1,MTOR,0.1775,mutation
A427.MK-8669,MTOR,POLE,0.542,mutation
A427.GEMCITABINE,KRAS,RRM1,0.536,mutation
A427.GEMCITABINE,RRM1,TYRO3,0.446,mutation
A427.GEMCITABINE,TYMS,TYRO3,0.446,mutation
A427.GEMCITABINE,CMPK1,TYRO3,0.446,mutation
A427.GEMCITABINE,POLE,RRM1,0.509,mutation
A427.GEMCITABINE,ASPM,RRM1,0.5,mutation
A427.GEMCITABINE,ASPM,TYMS,0.5,mutation
A427.GEMCITABINE,ASPM,CMPK1,0.5,mutation
A427.GEMCITABINE,CARS,RRM1,0.5,mutation
A427.GEMCITABINE,CARS,TYMS,0.5,mutation
A427.GEMCITABINE,CARS,CMPK1,0.5,mutation
A427.SUNITINIB,KIT,KRAS,0.44,mutation
A427.SUNITINIB,MAML1,PDGFRA,0.509,mutation
A427.SUNITINIB,MAML1,PDGFRB,0.509,mutation
A427.SUNITINIB,KIT,MAML1,0.509,mutation
A427.SUNITINIB,KDR,POLE,0.503,mutation
A427.SUNITINIB,CARS,PDGFRA,0.506,mutation
A427.SUNITINIB,CARS,PDGFRB,0.506,mutation
A427.SUNITINIB,CARS,KIT,0.506,mutation
A427.ETOPOSIDE,KRAS,TOP2A,0.458,mutation
A427.PD325901,KRAS,MAP2K1,0.458,mutation
A427.MK-4541,AR,KRAS,0.44,mutation
A427.LAPATINIB,EGFR,PPP2R4,0.1775,mutation
A427.LAPATINIB,EGFR,KRAS,0.85,mutation
A427.LAPATINIB,EGFR,POLE,0.533,mutation
A427.LAPATINIB,CTTN,EGFR,0.2,mutation
A427.MK-2206,AKT1,PPP2R4,0.1775,mutation
A427.MK-2206,AKT1,BECN1,0.1775,mutation
A427.DOXORUBICIN,KRAS,TOP1,0.855,mutation
A427.DINACICLIB,CDK2,KRAS,0.1775,mutation
A427.DINACICLIB,CDK9,KRAS,0.443,mutation
A427.DINACICLIB,CDK2,POLE,0.557,mutation
A427.METHOTREXATE,DHFR,MSH2,0.855,mutation
A427.5-FU,TYMS,TYRO3,0.446,mutation
A427.5-FU,ASPM,TYMS,0.5,mutation
A427.5-FU,CARS,TYMS,0.5,mutation
A427.DASATINIB,KIT,KRAS,0.44,mutation
A427.DASATINIB,KIT,MAML1,0.509,mutation
A427.DASATINIB,CARS,KIT,0.506,mutation
A427.TOPOTECAN,KRAS,TOP1,0.855,mutation
A427.BEZ-235,KRAS,MTOR,0.461,mutation
A427.BEZ-235,BECN1,MTOR,0.1775,mutation
A427.BEZ-235,MTOR,POLE,0.542,mutation
A427.SN-38,KRAS,TOP1,0.855,mutation
A427.SN-38,KRAS,TOP2A,0.458,mutation
A427.ERLOTINIB,EGFR,PPP2R4,0.1775,mutation
A427.ERLOTINIB,EGFR,KRAS,0.85,mutation
A427.ERLOTINIB,EGFR,POLE,0.533,mutation
A427.ERLOTINIB,CTTN,EGFR,0.2,mutation
ES2.MK-4827,PARP1,TP53,0.5173143,mutation
ES2.MK-4827,DLGAP5,PARP2,0.2,mutation
ES2.MK-4827,PARP1,POLM,0.536,mutation
ES2.MK-4827,PARP2,POLM,0.551,mutation
ES2.MK-4827,PARP1,PML,0.1775,mutation
ES2.MK-4827,PARP1,USP21,0.2,mutation
ES2.SORAFENIB,PDGFRB,TP53,0.4305,mutation
ES2.SORAFENIB,KDR,TP53,0.4305,mutation
ES2.SORAFENIB,KIT,TP53,0.1775,mutation
ES2.SORAFENIB,PDGFRA,06-Sep,0.503,mutation
ES2.SORAFENIB,PDGFRB,06-Sep,0.503,mutation
ES2.SORAFENIB,KIT,06-Sep,0.503,mutation
ES2.SORAFENIB,ATP7A,PDGFRA,0.509,mutation
ES2.SORAFENIB,ATP7A,PDGFRB,0.509,mutation
ES2.SORAFENIB,ATP7A,KIT,0.509,mutation
ES2.SORAFENIB,AZGP1,PDGFRA,0.506,mutation
ES2.SORAFENIB,AZGP1,PDGFRB,0.506,mutation
ES2.SORAFENIB,AZGP1,KIT,0.506,mutation
ES2.SORAFENIB,KDR,POLM,0.536,mutation
ES2.SORAFENIB,PDGFRA,PYROXD1,0.503,mutation
ES2.SORAFENIB,PDGFRB,PYROXD1,0.503,mutation
ES2.SORAFENIB,KIT,PYROXD1,0.503,mutation
ES2.SORAFENIB,PDGFRA,TJP1,0.527,mutation
ES2.SORAFENIB,PDGFRB,TJP1,0.527,mutation
ES2.SORAFENIB,KIT,TJP1,0.527,mutation
ES2.SORAFENIB,PDGFRA,UGT1A9,0.557,mutation
ES2.SORAFENIB,PDGFRB,UGT1A9,0.557,mutation
ES2.SORAFENIB,KIT,UGT1A9,0.557,mutation
ES2.SORAFENIB,NRG2,PDGFRA,0.503,mutation
ES2.SORAFENIB,NRG2,PDGFRB,0.503,mutation
ES2.SORAFENIB,KIT,NRG2,0.503,mutation
ES2.SORAFENIB,ANK3,PDGFRA,0.506,mutation
ES2.SORAFENIB,ANK3,PDGFRB,0.506,mutation
ES2.SORAFENIB,ANK3,KIT,0.506,mutation
ES2.ABT-888,PARP1,TP53,0.5173143,mutation
ES2.ABT-888,DLGAP5,PARP2,0.2,mutation
ES2.ABT-888,PARP1,POLM,0.536,mutation
ES2.ABT-888,PARP2,POLM,0.551,mutation
ES2.ABT-888,PARP1,PML,0.1775,mutation
ES2.ABT-888,PARP1,USP21,0.2,mutation
ES2.MK-8669,MTOR,TP53,0.464375,mutation
ES2.MK-8669,MTOR,POLM,0.548,mutation
ES2.GEMCITABINE,POLM,RRM1,0.527,mutation
ES2.GEMCITABINE,ASPM,RRM1,0.5,mutation
ES2.GEMCITABINE,ASPM,TYMS,0.5,mutation
ES2.GEMCITABINE,ASPM,CMPK1,0.5,mutation
ES2.SUNITINIB,PDGFRB,TP53,0.4305,mutation
ES2.SUNITINIB,KDR,TP53,0.4305,mutation
ES2.SUNITINIB,KIT,TP53,0.1775,mutation
ES2.SUNITINIB,PDGFRA,06-Sep,0.503,mutation
ES2.SUNITINIB,PDGFRB,06-Sep,0.503,mutation
ES2.SUNITINIB,KIT,06-Sep,0.503,mutation
ES2.SUNITINIB,ATP7A,PDGFRA,0.509,mutation
ES2.SUNITINIB,ATP7A,PDGFRB,0.509,mutation
ES2.SUNITINIB,ATP7A,KIT,0.509,mutation
ES2.SUNITINIB,AZGP1,PDGFRA,0.506,mutation
ES2.SUNITINIB,AZGP1,PDGFRB,0.506,mutation
ES2.SUNITINIB,AZGP1,KIT,0.506,mutation
ES2.SUNITINIB,KDR,POLM,0.536,mutation
ES2.SUNITINIB,PDGFRA,PYROXD1,0.503,mutation
ES2.SUNITINIB,PDGFRB,PYROXD1,0.503,mutation
ES2.SUNITINIB,KIT,PYROXD1,0.503,mutation
ES2.SUNITINIB,PDGFRA,TJP1,0.527,mutation
ES2.SUNITINIB,PDGFRB,TJP1,0.527,mutation
ES2.SUNITINIB,KIT,TJP1,0.527,mutation
ES2.SUNITINIB,PDGFRA,UGT1A9,0.557,mutation
ES2.SUNITINIB,PDGFRB,UGT1A9,0.557,mutation
ES2.SUNITINIB,KIT,UGT1A9,0.557,mutation
ES2.SUNITINIB,NRG2,PDGFRA,0.503,mutation
ES2.SUNITINIB,NRG2,PDGFRB,0.503,mutation
ES2.SUNITINIB,KIT,NRG2,0.503,mutation
ES2.SUNITINIB,ANK3,PDGFRA,0.506,mutation
ES2.SUNITINIB,ANK3,PDGFRB,0.506,mutation
ES2.SUNITINIB,ANK3,KIT,0.506,mutation
ES2.LAPATINIB,EGFR,TP53,0.273125,mutation
ES2.LAPATINIB,ERBB2,TP53,0.1775,mutation
ES2.LAPATINIB,BCAR1,EGFR,0.855,mutation
ES2.LAPATINIB,EGFR,POLM,0.551,mutation
ES2.LAPATINIB,EGFR,PTPRF,0.2,mutation
ES2.MK-2206,AKT1,TP53,0.273125,mutation
ES2.MK-2206,AKT1,AR,0.1775,mutation
ES2.MK-2206,AKT1,BRAF,0.1775,mutation
ES2.DOXORUBICIN,TOP1,TP53,0.1775,mutation
ES2.DINACICLIB,CDK1,TP53,0.1775,mutation
ES2.DINACICLIB,CDK2,TP53,0.1775,mutation
ES2.DINACICLIB,CDK9,TP53,0.1775,mutation
ES2.DINACICLIB,CDK2,POLM,0.548,mutation
ES2.MK-8776,CHEK1,TP53,0.85,mutation
ES2.MK-5108,AURKA,CYP2C9,0.5,mutation
ES2.MK-5108,AURKA,MAP2,0.5,mutation
ES2.GELDANAMYCIN,HSP90AA1,TP53,0.4305,mutation
ES2.5-FU,ASPM,TYMS,0.5,mutation
ES2.DASATINIB,KIT,TP53,0.1775,mutation
ES2.DASATINIB,KIT,06-Sep,0.503,mutation
ES2.DASATINIB,ATP7A,KIT,0.509,mutation
ES2.DASATINIB,AZGP1,KIT,0.506,mutation
ES2.DASATINIB,KIT,PYROXD1,0.503,mutation
ES2.DASATINIB,KIT,TJP1,0.527,mutation
ES2.DASATINIB,KIT,UGT1A9,0.557,mutation
ES2.DASATINIB,KIT,NRG2,0.503,mutation
ES2.DASATINIB,ANK3,KIT,0.506,mutation
ES2.AZD1775,TP53,WEE1,0.836875,mutation
ES2.TOPOTECAN,TOP1,TP53,0.1775,mutation
ES2.BEZ-235,MTOR,TP53,0.464375,mutation
ES2.BEZ-235,MTOR,POLM,0.548,mutation
ES2.SN-38,TOP1,TP53,0.1775,mutation
ES2.ERLOTINIB,EGFR,TP53,0.273125,mutation
ES2.ERLOTINIB,BCAR1,EGFR,0.855,mutation
ES2.ERLOTINIB,EGFR,POLM,0.551,mutation
ES2.ERLOTINIB,EGFR,PTPRF,0.2,mutation
HCT-15.MK-4827,PARP1,PIK3CA,0.34334375,mutation
HCT-15.MK-4827,PARP1,TOP1,0.1775,mutation
HCT-15.MK-4827,CD177,PARP1,0.1775,mutation
