CELL_LINE.DRUG,GENEA,GENEB,SCORE,SOURCE,GENEA.GENEB
A2058.GEMCITABINE,RRM1,TNNI3K,0.461,mutation,RRM1.TNNI3K
A2058.GEMCITABINE,TNNI3K,TYMS,0.461,mutation,TNNI3K.TYMS
A2058.LAPATINIB,EGF,EGFR,0.1775,mutation,EGF.EGFR
A2058.LAPATINIB,EGFR,RB1,0.1775,mutation,EGFR.RB1
A2058.LAPATINIB,EGFR,RHBDL2,0.2,mutation,EGFR.RHBDL2
A2058.LAPATINIB,EGFR,TP53,0.273125,mutation,EGFR.TP53
A2058.LAPATINIB,ERBB2,TP53,0.1775,mutation,ERBB2.TP53
A2058.MK-2206,AKT1,BRAF,0.1775,mutation,AKT1.BRAF
A2058.MK-2206,AKT1,KEAP1,0.56,gex,AKT1.KEAP1
A2058.MK-2206,AKT1,TP53,0.273125,mutation,AKT1.TP53
A2058.MK-4827,ATR,PARP1,0.4305,mutation,ATR.PARP1
A2058.MK-4827,CHUK,PARP1,0.1775,mutation,CHUK.PARP1
A2058.MK-4827,PARP1,PTEN,0.810625,mutation,PARP1.PTEN
A2058.MK-4827,PARP1,TP53,0.5173143,mutation,PARP1.TP53
A2058.MK-5108,AURKA,CYP3A5,0.5,mutation,AURKA.CYP3A5
A2058.MK-8669,ATR,MTOR,0.56,mutation,ATR.MTOR
A2058.MK-8669,MTOR,PTEN,0.9,mutation,MTOR.PTEN
A2058.MK-8669,MTOR,TP53,0.464375,mutation,MTOR.TP53
A2058.MK-8776,ATR,CHEK1,0.34334375,mutation,ATR.CHEK1
A2058.MK-8776,CHEK1,TP53,0.85,mutation,CHEK1.TP53
A2058.SN-38,RB1,TOP2A,0.855,mutation,RB1.TOP2A
A2058.SN-38,TOP1,TP53,0.1775,mutation,TOP1.TP53
A2058.SORAFENIB,EGR3,KIT,0.518,mutation,EGR3.KIT
A2058.SORAFENIB,EGR3,PDGFRA,0.518,mutation,EGR3.PDGFRA
A2058.SORAFENIB,EGR3,PDGFRB,0.518,mutation,EGR3.PDGFRB
A2058.SORAFENIB,KDR,TP53,0.4305,mutation,KDR.TP53
A2058.SORAFENIB,KIT,PGLS,0.581,mutation,KIT.PGLS
A2058.SORAFENIB,KIT,PLCB1,0.443,mutation,KIT.PLCB1
A2058.SORAFENIB,KIT,SORBS1,0.503,mutation,KIT.SORBS1
A2058.SORAFENIB,KIT,TJP1,0.527,gex,KIT.TJP1
A2058.SORAFENIB,KIT,TP53,0.1775,mutation,KIT.TP53
A2058.SORAFENIB,PDGFRA,PGLS,0.581,mutation,PDGFRA.PGLS
A2058.SORAFENIB,PDGFRA,PLCB1,0.443,mutation,PDGFRA.PLCB1
A2058.SORAFENIB,PDGFRA,SORBS1,0.503,mutation,PDGFRA.SORBS1
A2058.SORAFENIB,PDGFRA,TJP1,0.527,gex,PDGFRA.TJP1
A2058.SORAFENIB,PDGFRB,PGLS,0.581,mutation,PDGFRB.PGLS
A2058.SORAFENIB,PDGFRB,PLCB1,0.443,mutation,PDGFRB.PLCB1
A2058.SORAFENIB,PDGFRB,SORBS1,0.503,mutation,PDGFRB.SORBS1
A2058.SORAFENIB,PDGFRB,TJP1,0.527,gex,PDGFRB.TJP1
A2058.SORAFENIB,PDGFRB,TP53,0.4305,mutation,PDGFRB.TP53
A2058.SUNITINIB,EGR3,KIT,0.518,mutation,EGR3.KIT
A2058.SUNITINIB,EGR3,PDGFRA,0.518,mutation,EGR3.PDGFRA
A2058.SUNITINIB,EGR3,PDGFRB,0.518,mutation,EGR3.PDGFRB
A2058.SUNITINIB,KDR,TP53,0.4305,mutation,KDR.TP53
A2058.SUNITINIB,KIT,PGLS,0.581,mutation,KIT.PGLS
A2058.SUNITINIB,KIT,PLCB1,0.443,mutation,KIT.PLCB1
A2058.SUNITINIB,KIT,SORBS1,0.503,mutation,KIT.SORBS1
A2058.SUNITINIB,KIT,TJP1,0.527,gex,KIT.TJP1
A2058.SUNITINIB,KIT,TP53,0.1775,mutation,KIT.TP53
A2058.SUNITINIB,PDGFRA,PGLS,0.581,mutation,PDGFRA.PGLS
A2058.SUNITINIB,PDGFRA,PLCB1,0.443,mutation,PDGFRA.PLCB1
A2058.SUNITINIB,PDGFRA,SORBS1,0.503,mutation,PDGFRA.SORBS1
A2058.SUNITINIB,PDGFRA,TJP1,0.527,gex,PDGFRA.TJP1
A2058.SUNITINIB,PDGFRB,PGLS,0.581,mutation,PDGFRB.PGLS
A2058.SUNITINIB,PDGFRB,PLCB1,0.443,mutation,PDGFRB.PLCB1
A2058.SUNITINIB,PDGFRB,SORBS1,0.503,mutation,PDGFRB.SORBS1
A2058.SUNITINIB,PDGFRB,TJP1,0.527,gex,PDGFRB.TJP1
A2058.SUNITINIB,PDGFRB,TP53,0.4305,mutation,PDGFRB.TP53
A2058.TOPOTECAN,TOP1,TP53,0.1775,mutation,TOP1.TP53
A2780.5-FU,KCND1,TYMS,0.5,mutation,KCND1.TYMS
A2780.5-FU,MAP3K1,TYMS,0.5,gex,MAP3K1.TYMS
A2780.5-FU,NEK6,TYMS,0.464,gex,NEK6.TYMS
A2780.ABT-888,CASP8,PARP1,0.4305,mutation,CASP8.PARP1
A2780.ABT-888,CDK6,PARP1,0.557,gex,CDK6.PARP1
A2780.ABT-888,JUN,PARP1,0.273125,gex,JUN.PARP1
A2780.ABT-888,NIPBL,PARP1,0.855,mutation,NIPBL.PARP1
A2780.ABT-888,PARP1,PIK3CA,0.34334375,mutation,PARP1.PIK3CA
A2780.ABT-888,PARP1,PTEN,0.810625,mutation,PARP1.PTEN
A2780.ABT-888,PARP1,TNFRSF10B,0.56,mutation,PARP1.TNFRSF10B
A2780.ABT-888,PARP2,TNFRSF10B,0.551,mutation,PARP2.TNFRSF10B
A2780.BEZ-235,CDK6,MTOR,0.539,gex,CDK6.MTOR
A2780.BEZ-235,CDK6,PIK3CA,0.56,gex,CDK6.PIK3CA
A2780.BEZ-235,MTOR,PIK3CA,0.4305,mutation,MTOR.PIK3CA
A2780.BEZ-235,MTOR,PTEN,0.9,mutation,MTOR.PTEN
A2780.BEZ-235,MTOR,TNFRSF10B,0.554,mutation,MTOR.TNFRSF10B
A2780.BEZ-235,PIK3CA,PIK3CB,0.56,mutation,PIK3CA.PIK3CB
A2780.BEZ-235,PIK3CA,PTEN,0.4305,mutation,PIK3CA.PTEN
A2780.DASATINIB,AKR7A2,KIT,0.503,mutation,AKR7A2.KIT
A2780.DASATINIB,CAPN6,KIT,0.506,mutation,CAPN6.KIT
A2780.DASATINIB,CASP8,SRC,0.1775,mutation,CASP8.SRC
A2780.DASATINIB,CPSF1,KIT,0.506,mutation,CPSF1.KIT
A2780.DASATINIB,ITCH,KIT,0.512,mutation,ITCH.KIT
A2780.DASATINIB,KIT,LRRC37A,0.515,mutation,KIT.LRRC37A
A2780.DASATINIB,KIT,PPP3CA,0.44,gex,KIT.PPP3CA
A2780.DASATINIB,KIT,PYROXD1,0.503,mutation,KIT.PYROXD1
A2780.DASATINIB,KIT,SAT1,0.512,gex,KIT.SAT1
A2780.DASATINIB,KIT,UBA6,0.515,mutation,KIT.UBA6
A2780.DASATINIB,SRC,TNFRSF10B,0.1775,mutation,SRC.TNFRSF10B
A2780.DINACICLIB,CDK1,STIL,0.203,mutation,CDK1.STIL
A2780.DINACICLIB,CDK2,CDK6,0.6385,gex,CDK2.CDK6
A2780.DINACICLIB,CDK2,TNFRSF10B,0.557,mutation,CDK2.TNFRSF10B
A2780.DOXORUBICIN,DNMT1,STIL,0.2,mutation,DNMT1.STIL
A2780.ERLOTINIB,CDK6,EGFR,0.548,gex,CDK6.EGFR
A2780.ERLOTINIB,EGFR,EPHB2,0.2,mutation,EGFR.EPHB2
A2780.ERLOTINIB,EGFR,PIK3CA,0.1775,mutation,EGFR.PIK3CA
A2780.ERLOTINIB,EGFR,SDC4,0.2,gex,EGFR.SDC4
A2780.ERLOTINIB,EGFR,SMARCA4,0.1775,mutation,EGFR.SMARCA4
A2780.ERLOTINIB,EGFR,TNFRSF10B,0.512,mutation,EGFR.TNFRSF10B
A2780.GEMCITABINE,ABCC10,RRM1,0.5,mutation,ABCC10.RRM1
A2780.GEMCITABINE,CDK6,RRM1,0.521,gex,CDK6.RRM1
A2780.GEMCITABINE,CMPK1,KCND1,0.5,mutation,CMPK1.KCND1
A2780.GEMCITABINE,CMPK1,MAP3K1,0.5,gex,CMPK1.MAP3K1
A2780.GEMCITABINE,CMPK1,NEK6,0.464,gex,CMPK1.NEK6
A2780.GEMCITABINE,KCND1,RRM1,0.5,mutation,KCND1.RRM1
A2780.GEMCITABINE,KCND1,TYMS,0.5,mutation,KCND1.TYMS
A2780.GEMCITABINE,MAP3K1,RRM1,0.5,gex,MAP3K1.RRM1
A2780.GEMCITABINE,MAP3K1,TYMS,0.5,gex,MAP3K1.TYMS
A2780.GEMCITABINE,NEK6,RRM1,0.464,gex,NEK6.RRM1
A2780.GEMCITABINE,NEK6,TYMS,0.464,gex,NEK6.TYMS
A2780.GEMCITABINE,RRM1,TNFRSF10B,0.53,mutation,RRM1.TNFRSF10B
A2780.LAPATINIB,CDK6,EGFR,0.548,gex,CDK6.EGFR
A2780.LAPATINIB,EGFR,EPHB2,0.2,mutation,EGFR.EPHB2
A2780.LAPATINIB,EGFR,PIK3CA,0.1775,mutation,EGFR.PIK3CA
A2780.LAPATINIB,EGFR,SDC4,0.2,gex,EGFR.SDC4
A2780.LAPATINIB,EGFR,SMARCA4,0.1775,mutation,EGFR.SMARCA4
A2780.LAPATINIB,EGFR,TNFRSF10B,0.512,mutation,EGFR.TNFRSF10B
A2780.LAPATINIB,ERBB2,PIK3CA,0.1775,mutation,ERBB2.PIK3CA
A2780.LAPATINIB,ERBB2,PLCG1,0.1775,mutation,ERBB2.PLCG1
A2780.LAPATINIB,ERBB2,TPD52L1,0.173,gex,ERBB2.TPD52L1
A2780.MK-2206,AKT1,BRAF,0.1775,mutation,AKT1.BRAF
A2780.MK-2206,AKT1,CASP8,0.1775,mutation,AKT1.CASP8
A2780.MK-2206,AKT1,CDK6,0.56,gex,AKT1.CDK6
A2780.MK-2206,AKT1,JUN,0.1775,gex,AKT1.JUN
A2780.MK-2206,AKT1,PIK3CA,0.3982579,mutation,AKT1.PIK3CA
A2780.MK-2206,AKT1,TNFRSF10B,0.1775,mutation,AKT1.TNFRSF10B
A2780.MK-4541,AR,JUN,0.1775,gex,AR.JUN
A2780.MK-4827,CASP8,PARP1,0.4305,mutation,CASP8.PARP1
A2780.MK-4827,CDK6,PARP1,0.557,gex,CDK6.PARP1
A2780.MK-4827,JUN,PARP1,0.273125,gex,JUN.PARP1
A2780.MK-4827,NIPBL,PARP1,0.855,mutation,NIPBL.PARP1
A2780.MK-4827,PARP1,PIK3CA,0.34334375,mutation,PARP1.PIK3CA
A2780.MK-4827,PARP1,PTEN,0.810625,mutation,PARP1.PTEN
A2780.MK-4827,PARP1,TNFRSF10B,0.56,mutation,PARP1.TNFRSF10B
A2780.MK-4827,PARP2,TNFRSF10B,0.551,mutation,PARP2.TNFRSF10B
A2780.MK-5108,ABCC10,AURKA,0.605,mutation,ABCC10.AURKA
A2780.MK-8669,CDK6,MTOR,0.539,gex,CDK6.MTOR
A2780.MK-8669,MTOR,PIK3CA,0.4305,mutation,MTOR.PIK3CA
A2780.MK-8669,MTOR,PTEN,0.9,mutation,MTOR.PTEN
A2780.MK-8669,MTOR,TNFRSF10B,0.554,mutation,MTOR.TNFRSF10B
A2780.MK-8776,ABCC10,CHEK1,0.647,mutation,ABCC10.CHEK1
A2780.MK-8776,CHEK1,NOL11,0.176,mutation,CHEK1.NOL11
A2780.MK-8776,CHEK1,PIK3CA,0.1775,mutation,CHEK1.PIK3CA
A2780.MK-8776,CHEK1,RBBP8,0.1775,mutation,CHEK1.RBBP8
A2780.PACLITAXEL,KIFC1,TUBB,0.2,mutation,KIFC1.TUBB
A2780.PD325901,CDK6,MAP2K1,0.4305,gex,CDK6.MAP2K1
A2780.SORAFENIB,ABCC10,KDR,0.473,mutation,ABCC10.KDR
A2780.SORAFENIB,AKR7A2,KIT,0.503,mutation,AKR7A2.KIT
A2780.SORAFENIB,AKR7A2,PDGFRA,0.503,mutation,AKR7A2.PDGFRA
A2780.SORAFENIB,AKR7A2,PDGFRB,0.503,mutation,AKR7A2.PDGFRB
A2780.SORAFENIB,CAPN6,KIT,0.506,mutation,CAPN6.KIT
A2780.SORAFENIB,CAPN6,PDGFRA,0.506,mutation,CAPN6.PDGFRA
A2780.SORAFENIB,CAPN6,PDGFRB,0.506,mutation,CAPN6.PDGFRB
A2780.SORAFENIB,CDK6,KDR,0.554,gex,CDK6.KDR
A2780.SORAFENIB,CPSF1,KIT,0.506,mutation,CPSF1.KIT
A2780.SORAFENIB,CPSF1,PDGFRA,0.506,mutation,CPSF1.PDGFRA
A2780.SORAFENIB,CPSF1,PDGFRB,0.506,mutation,CPSF1.PDGFRB
A2780.SORAFENIB,ITCH,KIT,0.512,mutation,ITCH.KIT
A2780.SORAFENIB,ITCH,PDGFRA,0.512,mutation,ITCH.PDGFRA
A2780.SORAFENIB,ITCH,PDGFRB,0.512,mutation,ITCH.PDGFRB
A2780.SORAFENIB,KDR,TNFRSF10B,0.554,mutation,KDR.TNFRSF10B
A2780.SORAFENIB,KIT,LRRC37A,0.515,mutation,KIT.LRRC37A
A2780.SORAFENIB,KIT,PPP3CA,0.44,gex,KIT.PPP3CA
A2780.SORAFENIB,KIT,PYROXD1,0.503,mutation,KIT.PYROXD1
A2780.SORAFENIB,KIT,SAT1,0.512,gex,KIT.SAT1
A2780.SORAFENIB,KIT,UBA6,0.515,mutation,KIT.UBA6
A2780.SORAFENIB,LRRC37A,PDGFRA,0.515,mutation,LRRC37A.PDGFRA
A2780.SORAFENIB,LRRC37A,PDGFRB,0.515,mutation,LRRC37A.PDGFRB
A2780.SORAFENIB,PDGFRA,PPP3CA,0.44,gex,PDGFRA.PPP3CA
A2780.SORAFENIB,PDGFRA,PYROXD1,0.503,mutation,PDGFRA.PYROXD1
A2780.SORAFENIB,PDGFRA,SAT1,0.512,gex,PDGFRA.SAT1
A2780.SORAFENIB,PDGFRA,UBA6,0.515,mutation,PDGFRA.UBA6
A2780.SORAFENIB,PDGFRB,PPP3CA,0.44,gex,PDGFRB.PPP3CA
A2780.SORAFENIB,PDGFRB,PYROXD1,0.503,mutation,PDGFRB.PYROXD1
A2780.SORAFENIB,PDGFRB,SAT1,0.512,gex,PDGFRB.SAT1
A2780.SORAFENIB,PDGFRB,UBA6,0.515,mutation,PDGFRB.UBA6
A2780.SUNITINIB,ABCC10,KDR,0.473,mutation,ABCC10.KDR
A2780.SUNITINIB,AKR7A2,KIT,0.503,mutation,AKR7A2.KIT
A2780.SUNITINIB,AKR7A2,PDGFRA,0.503,mutation,AKR7A2.PDGFRA
A2780.SUNITINIB,AKR7A2,PDGFRB,0.503,mutation,AKR7A2.PDGFRB
A2780.SUNITINIB,CAPN6,KIT,0.506,mutation,CAPN6.KIT
A2780.SUNITINIB,CAPN6,PDGFRA,0.506,mutation,CAPN6.PDGFRA
A2780.SUNITINIB,CAPN6,PDGFRB,0.506,mutation,CAPN6.PDGFRB
A2780.SUNITINIB,CDK6,KDR,0.554,gex,CDK6.KDR
A2780.SUNITINIB,CPSF1,KIT,0.506,mutation,CPSF1.KIT
A2780.SUNITINIB,CPSF1,PDGFRA,0.506,mutation,CPSF1.PDGFRA
A2780.SUNITINIB,CPSF1,PDGFRB,0.506,mutation,CPSF1.PDGFRB
A2780.SUNITINIB,ITCH,KIT,0.512,mutation,ITCH.KIT
A2780.SUNITINIB,ITCH,PDGFRA,0.512,mutation,ITCH.PDGFRA
A2780.SUNITINIB,ITCH,PDGFRB,0.512,mutation,ITCH.PDGFRB
A2780.SUNITINIB,KDR,TNFRSF10B,0.554,mutation,KDR.TNFRSF10B
A2780.SUNITINIB,KIT,LRRC37A,0.515,mutation,KIT.LRRC37A
A2780.SUNITINIB,KIT,PPP3CA,0.44,gex,KIT.PPP3CA
A2780.SUNITINIB,KIT,PYROXD1,0.503,mutation,KIT.PYROXD1
A2780.SUNITINIB,KIT,SAT1,0.512,gex,KIT.SAT1
A2780.SUNITINIB,KIT,UBA6,0.515,mutation,KIT.UBA6
A2780.SUNITINIB,LRRC37A,PDGFRA,0.515,mutation,LRRC37A.PDGFRA
A2780.SUNITINIB,LRRC37A,PDGFRB,0.515,mutation,LRRC37A.PDGFRB
A2780.SUNITINIB,PDGFRA,PPP3CA,0.44,gex,PDGFRA.PPP3CA
A2780.SUNITINIB,PDGFRA,PYROXD1,0.503,mutation,PDGFRA.PYROXD1
A2780.SUNITINIB,PDGFRA,SAT1,0.512,gex,PDGFRA.SAT1
A2780.SUNITINIB,PDGFRA,UBA6,0.515,mutation,PDGFRA.UBA6
A2780.SUNITINIB,PDGFRB,PPP3CA,0.44,gex,PDGFRB.PPP3CA
A2780.SUNITINIB,PDGFRB,PYROXD1,0.503,mutation,PDGFRB.PYROXD1
A2780.SUNITINIB,PDGFRB,SAT1,0.512,gex,PDGFRB.SAT1
A2780.SUNITINIB,PDGFRB,UBA6,0.515,mutation,PDGFRB.UBA6
A2780.VINORELBINE,KIFC1,TUBB,0.2,mutation,KIFC1.TUBB
A375.5-FU,BARD1,TYMS,0.2,gex,BARD1.TYMS
A375.5-FU,CALM1,TYMS,0.491,gex,CALM1.TYMS
A375.ABT-888,MTOR,PARP1,0.557,mutation,MTOR.PARP1
A375.ABT-888,MTOR,PARP2,0.557,mutation,MTOR.PARP2
A375.ABT-888,MYC,PARP1,0.1775,gex,MYC.PARP1
A375.BEZ-235,ATG5,MTOR,0.1775,gex,ATG5.MTOR
A375.BEZ-235,HGF,MTOR,0.1775,mutation,HGF.MTOR
A375.BEZ-235,MTOR,MYC,0.7625,gex,MTOR.MYC
A375.BEZ-235,MTOR,PIK3CA,0.4305,mutation,MTOR.PIK3CA
A375.BEZ-235,MYC,PIK3CA,0.56,gex,MYC.PIK3CA
A375.DASATINIB,ACSL1,KIT,0.551,mutation,ACSL1.KIT
A375.DASATINIB,ANK3,KIT,0.506,mutation,ANK3.KIT
A375.DASATINIB,CA2,KIT,0.509,mutation,CA2.KIT
A375.DASATINIB,CALM1,KIT,0.506,gex,CALM1.KIT
A375.DASATINIB,CNR1,KIT,0.506,mutation,CNR1.KIT
A375.DASATINIB,CST4,KIT,0.506,mutation,CST4.KIT
A375.DASATINIB,GPC5,KIT,0.521,mutation,GPC5.KIT
A375.DASATINIB,KIT,MYC,0.1775,gex,KIT.MYC
A375.DASATINIB,KIT,PDE4DIP,0.554,mutation,KIT.PDE4DIP
A375.DASATINIB,KIT,SP100,0.503,mutation,KIT.SP100
A375.DASATINIB,KIT,TJP1,0.527,gex,KIT.TJP1
A375.DINACICLIB,CDK1,MYC,0.8325,gex,CDK1.MYC
A375.DINACICLIB,CDK1,STIL,0.203,mutation,CDK1.STIL
A375.DINACICLIB,CDK2,MTOR,0.557,mutation,CDK2.MTOR
A375.DINACICLIB,CDK2,MYC,0.8325,gex,CDK2.MYC
A375.DOXORUBICIN,DNMT1,STIL,0.2,mutation,DNMT1.STIL
A375.ERLOTINIB,CALM1,EGFR,0.855,gex,CALM1.EGFR
A375.ERLOTINIB,EGFR,FGFR2,0.855,mutation,EGFR.FGFR2
A375.ERLOTINIB,EGFR,HGF,0.1775,mutation,EGFR.HGF
A375.ERLOTINIB,EGFR,MTOR,0.6115,mutation,EGFR.MTOR
A375.ERLOTINIB,EGFR,MYC,0.1775,gex,EGFR.MYC
A375.ERLOTINIB,EGFR,PLEC,0.2,mutation,EGFR.PLEC
A375.GEMCITABINE,ABCC10,RRM1,0.5,mutation,ABCC10.RRM1
A375.GEMCITABINE,BARD1,TYMS,0.2,gex,BARD1.TYMS
A375.GEMCITABINE,CALM1,CMPK1,0.491,gex,CALM1.CMPK1
A375.GEMCITABINE,CALM1,RRM1,0.491,gex,CALM1.RRM1
A375.GEMCITABINE,CALM1,TYMS,0.491,gex,CALM1.TYMS
A375.GEMCITABINE,MTOR,RRM1,0.536,mutation,MTOR.RRM1
A375.LAPATINIB,CALM1,EGFR,0.855,gex,CALM1.EGFR
A375.LAPATINIB,EGFR,FGFR2,0.855,mutation,EGFR.FGFR2
A375.LAPATINIB,EGFR,HGF,0.1775,mutation,EGFR.HGF
A375.LAPATINIB,EGFR,MTOR,0.6115,mutation,EGFR.MTOR
A375.LAPATINIB,EGFR,MYC,0.1775,gex,EGFR.MYC
A375.LAPATINIB,EGFR,PLEC,0.2,mutation,EGFR.PLEC
A375.LAPATINIB,ERBB2,MYC,0.1775,gex,ERBB2.MYC
A375.METFORMIN,MYC,PRKAB1,0.548,gex,MYC.PRKAB1
A375.MK-2206,AKT1,ATG5,0.1775,gex,AKT1.ATG5
A375.MK-2206,AKT1,BRAF,0.1775,mutation,AKT1.BRAF
A375.MK-2206,AKT1,MTOR,0.56,mutation,AKT1.MTOR
A375.MK-4827,MTOR,PARP1,0.557,mutation,MTOR.PARP1
A375.MK-4827,MTOR,PARP2,0.557,mutation,MTOR.PARP2
A375.MK-4827,MYC,PARP1,0.1775,gex,MYC.PARP1
A375.MK-5108,ABCC10,AURKA,0.605,mutation,ABCC10.AURKA
A375.MK-5108,AURKA,ECT2,0.2,gex,AURKA.ECT2
A375.MK-5108,AURKA,TACC3,0.23,mutation,AURKA.TACC3
A375.MK-8669,ATG5,MTOR,0.1775,gex,ATG5.MTOR
A375.MK-8669,HGF,MTOR,0.1775,mutation,HGF.MTOR
A375.MK-8669,MTOR,MYC,0.7625,gex,MTOR.MYC
A375.MK-8776,ABCC10,CHEK1,0.647,mutation,ABCC10.CHEK1
A375.MK-8776,CHEK1,MYC,0.4305,gex,CHEK1.MYC
A375.SORAFENIB,ABCC10,KDR,0.473,mutation,ABCC10.KDR
A375.SORAFENIB,ACSL1,KIT,0.551,mutation,ACSL1.KIT
A375.SORAFENIB,ACSL1,PDGFRA,0.551,mutation,ACSL1.PDGFRA
A375.SORAFENIB,ACSL1,PDGFRB,0.551,mutation,ACSL1.PDGFRB
A375.SORAFENIB,ANK3,KIT,0.506,mutation,ANK3.KIT
A375.SORAFENIB,ANK3,PDGFRA,0.506,mutation,ANK3.PDGFRA
A375.SORAFENIB,ANK3,PDGFRB,0.506,mutation,ANK3.PDGFRB
A375.SORAFENIB,CA2,KIT,0.509,mutation,CA2.KIT
A375.SORAFENIB,CA2,PDGFRA,0.509,mutation,CA2.PDGFRA
A375.SORAFENIB,CA2,PDGFRB,0.509,mutation,CA2.PDGFRB
A375.SORAFENIB,CALM1,KIT,0.506,gex,CALM1.KIT
A375.SORAFENIB,CALM1,PDGFRA,0.506,gex,CALM1.PDGFRA
A375.SORAFENIB,CALM1,PDGFRB,0.506,gex,CALM1.PDGFRB
A375.SORAFENIB,CNR1,KIT,0.506,mutation,CNR1.KIT
A375.SORAFENIB,CNR1,PDGFRA,0.506,mutation,CNR1.PDGFRA
A375.SORAFENIB,CNR1,PDGFRB,0.506,mutation,CNR1.PDGFRB
A375.SORAFENIB,CST4,KIT,0.506,mutation,CST4.KIT
A375.SORAFENIB,CST4,PDGFRA,0.506,mutation,CST4.PDGFRA
A375.SORAFENIB,CST4,PDGFRB,0.506,mutation,CST4.PDGFRB
A375.SORAFENIB,GPC5,KIT,0.521,mutation,GPC5.KIT
A375.SORAFENIB,GPC5,PDGFRA,0.521,mutation,GPC5.PDGFRA
A375.SORAFENIB,GPC5,PDGFRB,0.521,mutation,GPC5.PDGFRB
A375.SORAFENIB,KDR,MTOR,0.545,mutation,KDR.MTOR
A375.SORAFENIB,KIT,MYC,0.1775,gex,KIT.MYC
A375.SORAFENIB,KIT,PDE4DIP,0.554,mutation,KIT.PDE4DIP
A375.SORAFENIB,KIT,SP100,0.503,mutation,KIT.SP100
A375.SORAFENIB,KIT,TJP1,0.527,gex,KIT.TJP1
A375.SORAFENIB,PDE4DIP,PDGFRA,0.554,mutation,PDE4DIP.PDGFRA
A375.SORAFENIB,PDE4DIP,PDGFRB,0.554,mutation,PDE4DIP.PDGFRB
A375.SORAFENIB,PDGFRA,SP100,0.503,mutation,PDGFRA.SP100
A375.SORAFENIB,PDGFRA,TJP1,0.527,gex,PDGFRA.TJP1
A375.SORAFENIB,PDGFRB,SP100,0.503,mutation,PDGFRB.SP100
A375.SORAFENIB,PDGFRB,TJP1,0.527,gex,PDGFRB.TJP1
A375.SUNITINIB,ABCC10,KDR,0.473,mutation,ABCC10.KDR
A375.SUNITINIB,ACSL1,KIT,0.551,mutation,ACSL1.KIT
A375.SUNITINIB,ACSL1,PDGFRA,0.551,mutation,ACSL1.PDGFRA
A375.SUNITINIB,ACSL1,PDGFRB,0.551,mutation,ACSL1.PDGFRB
